7155427
/m/0h760v
/m/0h760v
Eleanor Cameron
1954
a 13
ad 1
advertiser 1
after 1
an 1
and 8
as 1
asking 1
at 1
bass 2
be 2
before 1
boys 5
bring 2
build 1
by 1
can 1
chicken 1
concocted 1
construct 1
content 1
cousins 1
covered 1
crisis 2
dying 1
earth 2
eggs 1
end 1
eponymous 1
everyone 1
filter 1
find 1
fly 1
for 4
fuel 1
getting 1
gives 1
goes 1
grab 1
great 1
green 1
had 1
has 2
have 1
he 5
heads 1
hen 2
high 1
if 1
in 3
into 1
invented 1
is 3
it 2
king 1
lack 1
large 1
last 1
launch 1
living 1
man 1
mascot 3
meet 2
men 1
moment 1
moss 1
most 1
mr 2
mushroom 4
mushrooms 1
mysterious 3
natives 1
newspaper 1
observatory 1
of 7
old 1
on 1
one 1
only 2
out 1
parents 1
people 1
permission 1
planet 6
power 1
previously 1
problem 1
quickly 2
reason 1
residents 1
resolved 1
returning 1
rocket 1
satellite 1
scientist 1
scrap 1
seen 1
shows 1
size 1
skin 1
slightly 1
slowly 1
small 2
soft 1
solving 1
some 3
space 1
spaceship 2
special 2
successful 1
sulfur 2
ta 1
tell 1
tells 1
that 3
the 19
their 5
them 3
they 7
this 2
time 1
tin 1
to 6
townspeople 1
tree 1
trip 1
two 2
undetected 1
unnoticed 1
up 3
verdant 1
wake 1
warns 1
was 1
when 2
who 1
will 1
with 4
wood 1
world 1
young 1
