26368791
/m/0bbyrk_
/m/0bbyrk_
John Marsden
1991
a 4
about 5
abusive 1
ad 1
after 1
again 1
an 3
and 12
angry 1
appearing 1
appears 1
are 2
as 4
asks 1
award 1
back 1
be 1
becomes 2
begin 1
between 1
book 1
boyfriend 1
brother 2
but 1
caring 1
celebrate 1
cell 1
center 1
claims 2
close 1
completely 1
confesses 1
continues 1
continuously 1
deeper 1
detention 1
do 1
each 1
end 1
especially 1
essay 1
even 1
exchanged 1
expects 1
fact 1
family 2
fictional 1
fifteenyearold 1
finally 2
for 4
form 1
from 1
frustrates 1
gdy 1
get 1
getting 1
girls 2
give 1
gives 1
hand 1
has 1
hear 1
her 14
honest 1
however 2
ignore 1
in 7
includes 1
inconsistencies 1
increasingly 1
information 3
into 1
is 6
it 1
joke 1
juvenile 1
letter 2
letters 3
life 1
lives 1
long 1
longer 1
magazine 1
makes 1
mandy 14
naivete 1
nanna 1
never 2
nice 1
no 1
not 3
now 1
occasionally 1
of 2
on 2
other 1
parents 1
perfect 1
places 1
questions 1
reason 1
refuses 1
relationship 1
relationships 1
replies 2
return 1
reveals 1
rich 1
school 1
seems 1
sender 1
sent 1
share 1
she 5
siblings 1
side 1
so 1
softer 1
start 1
staying 1
stops 1
story 2
that 4
the 9
their 3
them 2
there 1
they 2
throughout 1
time 1
to 16
told 1
touch 1
towards 1
tracey 13
tries 1
truth 1
tunneling 1
two 1
up 1
violent 1
want 1
wanting 1
when 3
which 2
will 1
wins 1
with 6
wonderful 1
worried 1
write 1
writes 2
writing 5
