12983647
/m/02z26xp
/m/02z26xp
Tim O'Brien
1998
a 6
able 1
about 1
accuse 1
addresses 1
against 1
agrees 1
also 1
an 1
and 9
another 1
as 5
assists 1
at 5
attracted 1
awry 1
backyard 1
because 1
been 2
bombs 1
book 1
break 1
broken 1
brother 1
burn 1
but 3
by 1
care 1
caribbean 1
cause 1
center 1
check 1
childhood 1
chippering 1
church 1
close 1
comfortably 1
community 1
companions 1
current 1
dalliances 1
day 1
decides 1
dependence 1
directly 1
donna 4
down 1
eagerly 1
emotionally 1
end 3
explanation 1
exwife 1
faculty 1
female 1
fictitious 1
fiji 1
finds 2
fire 1
firecrackers 1
flirtatious 1
forthcoming 1
fouryearolds 1
friends 1
gasoline 1
gathers 1
get 1
goes 1
grew 1
harassment 1
has 1
have 1
he 2
her 3
herbie 3
him 2
his 10
home 1
house 2
husband 2
in 5
infatuations 1
innuendo 1
instructor 1
involves 1
irrational 1
is 4
island 1
jars 1
job 2
keeping 1
kept 1
known 1
kooshof 1
layer 1
least 1
leaving 1
lifelong 1
live 2
local 1
lorna 6
loses 1
madcap 1
maintains 1
marriage 2
mason 1
mdash 2
member 1
minnesota 2
move 1
mrs 1
mysterious 1
narrator 1
nature 1
new 2
no 1
not 1
occasionally 1
occurs 1
of 9
off 1
on 3
one 1
only 1
or 1
over 1
owago 4
part 1
participate 1
past 1
planning 1
plans 1
plot 1
point 1
position 1
projects 1
proximate 1
ran 1
rashly 1
reaction 1
reader 3
record 1
redhead 1
referring 1
reformed 1
relationship 1
resident 1
resolution 1
returns 2
revealed 1
revenge 3
robert 1
scheme 1
set 1
sexual 1
shakespeare 1
since 1
spent 1
starts 1
steals 1
students 2
subplot 1
sue 6
supposedly 1
surprisingly 1
teaching 1
that 3
the 18
their 1
there 1
these 1
this 4
thomas 1
thus 1
to 19
together 1
tom 16
town 1
trespasses 1
tries 1
trying 1
tycoon 1
unhinges 1
university 1
up 2
was 1
when 2
where 1
while 2
with 3
writing 1
years 1
you 1
your 1
zylstra 1
