62654
/m/0gxwz
/m/0gxwz
William Shakespeare
1623

451415 1
a 21
about 3
absurd 1
accompanied 1
according 1
acknowledges 1
act 1
actually 2
after 2
against 1
agree 2
agrees 2
all 2
allow 1
allows 1
along 1
also 3
always 1
amongst 1
an 1
and 37
announce 1
another 1
any 1
apologises 1
appears 2
are 4
arrested 1
arrives 2
as 6
at 4
attempt 1
attend 2
attentions 1
back 3
banquet 1
baptista 10
be 9
beautiful 1
because 2
become 1
becomes 1
been 1
before 1
befuddled 1
begins 1
behind 1
believing 1
betrothed 1
bewildered 1
bianca 14
bid 1
breaks 1
by 3
call 2
cambio 2
can 2
cause 1
ceremony 1
christopher 1
claims 2
clothing 1
come 1
comes 2
communion 1
compete 1
complex 1
confirm 1
confirms 1
confusion 1
convince 1
cooked 1
counter 1
couples 1
daughter 2
daughters 1
death 1
decides 1
declares 1
despair 1
determines 1
disagreeing 1
disguise 2
disguised 2
disguises 1
does 2
doesnt 1
dowry 2
dress 1
drinks 1
drunkard 1
during 1
each 1
eager 1
easily 1
eldest 1
elopes 1
elsewhere 1
encounters 1
end 1
ends 1
engaged 1
enjoy 1
enough 1
ever 1
every 1
everything 3
explains 1
falls 1
farcical 1
fashionable 1
father 5
fathers 1
final 1
first 1
fit 1
food 1
for 13
forcing 1
forgiven 1
formally 1
frames 1
free 1
friend 1
front 1
future 1
general 1
gentle 1
gives 1
goal 1
gone 1
good 1
gremio 3
grumio 1
hand 1
happened 1
happy 1
harsh 1
has 8
hat 1
hauled 1
have 2
he 16
hearing 1
her 12
herself 1
him 2
himself 2
his 13
history 1
home 1
hortensio 9
house 1
how 2
however 3
husband 1
husbands 1
i 1
identities 1
if 1
in 15
induction 1
instantly 1
into 2
is 25
it 3
katherina 11
kind 2
latin 1
life 1
litio 2
lookout 1
lord 2
love 1
lucentio 17
main 1
man 3
married 4
marry 5
marvelling 1
matter 1
may 1
me 1
meantime 1
meanwhile 3
meat 1
meet 1
men 1
minola 2
moon 1
more 2
most 2
much 3
music 1
named 3
nature 1
near 1
need 1
new 1
newly 2
no 2
not 3
nothing 1
notorious 1
obedient 1
obediently 1
obey 1
of 13
off 1
old 1
on 5
once 2
one 2
only 1
opinion 1
opportunity 1
or 1
other 3
out 2
outbidding 1
overcooked 1
overhears 1
padua 7
part 1
passing 1
pedant 3
perfectly 1
performed 1
persuades 1
petruchio 16
play 5
played 1
please 1
plot 1
point 1
possesses 1
present 1
pretend 3
pretending 2
priest 1
prior 1
problems 1
proclaims 1
promises 1
proposes 1
psychology 1
quarrel 1
real 4
recently 1
recruit 1
refused 1
removing 1
reveals 1
reverse 1
rich 1
right 1
room 1
rushcandlehenceforth 1
says 3
scene 1
scheme 1
secretly 1
sees 1
seizes 1
send 1
servant 3
set 2
sets 1
shall 1
she 5
should 1
shrew 3
shrewish 1
sister 1
sly 2
so 6
some 1
someone 1
son 1
speech 1
still 1
strikes 1
stylish 1
subject 1
successfully 1
suitor 1
suitors 1
sun 1
sworn 1
takes 1
tamed 1
taming 1
teachers 1
tells 2
temper 1
than 1
that 16
the 46
their 4
then 3
there 2
they 6
thing 1
things 1
this 1
thought 1
three 2
thus 3
to 41
together 1
tranio 9
tricked 1
tutor 2
tutors 1
two 3
unbeknownst 1
university 1
vincentio 8
vow 1
wager 3
way 3
wed 3
wedding 1
when 4
whereby 1
which 1
whichever 1
while 1
who 6
whose 1
why 1
widow 2
wife 2
will 6
win 1
wine 1
winning 1
wish 1
with 10
wives 3
woman 1
won 1
woo 2
woos 1
work 1
worthy 1
would 1
you 1
younger 2
zeal 1
