4433885
/m/0c24sn
/m/0c24sn
Jonathan Carroll
1987-05-31
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 4
about 1
across 1
adversary 1
affecting 1
against 1
and 5
as 2
baby 1
become 1
begin 1
begins 1
behatted 1
being 1
best 2
bit 2
bones 1
boy 1
brick 1
but 1
by 2
called 1
coin 1
cullen 1
daughter 1
days 1
disjointed 1
dog 1
dream 1
dreams 3
earth 1
episodic 1
escort 1
europe 1
events 1
fish 1
for 1
forgotten 1
friend 1
friends 1
frightening 1
fulfilled 1
full 1
grow 1
has 1
her 6
huge 1
in 6
intensity 1
intersecting 1
intrude 1
is 1
james 1
land 1
last 1
learns 1
life 1
living 1
machines 1
marries 1
moon 1
more 2
mountains 1
mysterious 1
named 1
names 1
new 1
night 1
northern 1
of 5
on 1
pepsi 1
places 1
plain 1
race 1
rondua 2
sea 1
searching 1
she 6
start 1
strange 2
stroke 1
such 1
the 9
then 1
to 2
travels 1
unpleasant 1
visit 1
ways 1
were 1
where 2
wishes 1
with 1
york 1
young 1
