13362395
/m/03c2xq6
/m/03c2xq6
Alan Bennett
2007
125 1
a 12
advisers 1
after 2
all 3
also 2
and 3
anyone 1
are 1
as 5
be 1
becomes 1
book 1
books 1
british 1
by 3
came 1
can 4
chance 1
claims 1
collection 1
common 10
commoner 1
concur 1
connotation 1
consequences 1
constitutional 1
critic 1
decided 1
dogmatism 1
dr 1
elizabeth 1
encounter 1
english 1
entering 1
essay 1
everyone 1
example 1
expected 1
folk 1
follows 1
for 4
from 1
generally 1
group 1
have 1
her 3
holds 1
honours 1
household 1
i 1
ii 1
in 3
is 3
it 1
johnson 1
kingdom 1
learning 1
levels 1
library 1
literary 1
mean 4
mobile 1
must 1
nobility 1
obsessed 1
obsession 1
of 7
on 1
opposed 1
or 3
ordinary 1
other 1
person 1
phrase 1
play 2
pleasure 1
plus 1
poetical 1
position 1
prejudices 1
queen 1
read 1
reader 4
readers 1
reads 1
refinements 1
rejoice 1
royalty 1
scholar 1
sense 1
set 1
so 1
something 1
story 1
students 1
subtilty 1
taste 1
text 1
than 1
that 2
the 12
they 1
thief 1
this 2
title 4
to 4
triple 1
uncommon 1
uncorrupted 1
united 1
university 1
used 1
virginia 2
vulgar 1
who 1
with 3
woolf 2
work 1
