6740160
/m/0glm63
/m/0glm63
Nelson Algren
1949-11
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
146 1
148 1
a 15
about 1
abusive 1
accident 1
addiction 4
affair 1
after 1
again 1
although 2
amateur 1
an 3
and 18
any 1
apartment 2
arrested 1
as 5
aspires 1
at 1
attempt 1
authorities 1
away 1
back 2
backroom 1
barely 1
beats 1
become 1
becomes 1
been 1
begins 2
behind 1
believes 1
between 1
breaks 1
but 4
by 4
can 1
card 3
caused 1
character 1
chicago 1
childhood 1
circumvent 1
club 1
companion 1
connected 1
constant 1
control 1
coroner 1
corpus 1
cover 1
dark 1
dealer 1
dealing 1
department 1
develops 1
division 1
dogs 1
door 1
down 1
drawing 1
dream 1
drug 2
drugs 1
drummer 2
drunkdriving 1
elevated 1
end 1
ends 1
entitled 1
epitaph 1
escape 1
events 1
eventually 1
feebleminded 1
fight 1
fighting 2
find 1
finding 1
flee 1
flees 1
flophouse 1
fomorowski 1
foot 1
for 5
forced 1
francis 1
frankie 13
free 1
friend 1
from 2
frustrations 1
gamblers 1
games 2
gene 1
gets 2
gifted 1
guilt 1
habeas 1
habit 2
hangs 1
has 1
he 18
held 1
helps 1
her 7
hides 1
hiding 1
him 1
himself 1
his 14
hope 1
husband 2
ii 1
implies 1
imprisoned 1
in 16
inadvertently 1
initially 2
inquest 1
is 12
it 1
jazz 1
job 1
join 1
keep 2
killer 1
kills 1
known 1
knows 1
krupa 1
lake 1
learn 1
leaving 2
line 1
liver 1
lives 1
looking 1
louie 3
machine 1
majcinek 1
man 1
manages 2
materializes 1
meanwhile 1
medicated 1
men 1
molly 5
mollyo 1
money 1
monkey 1
morphine 1
most 1
moved 1
moves 1
murder 1
musicians 1
nature 1
near 2
nearby 1
neighborhood 1
never 1
nicknamed 1
nifty 3
night 1
nights 1
northwest 1
novel 3
novotny 1
of 6
often 1
on 5
one 1
only 1
operated 1
or 1
others 1
out 3
owed 1
paralysis 1
place 1
poem 1
police 2
politically 1
primarily 1
priority 1
protg 1
psychological 1
questioning 1
rail 1
referring 1
relationship 1
released 1
requirements 1
reuniting 1
reveals 1
role 1
room 1
run 1
saltskin 1
schwiefka 1
selling 1
sends 1
separated 1
serving 1
she 4
shoplifting 1
shot 1
shrapnel 1
side 1
since 1
small 1
soon 1
sophie 2
sparrow 6
specializes 1
spends 1
spurs 1
stairwell 1
station 2
staying 1
stealing 1
steerer 1
story 1
street 2
strip 1
supplier 1
take 1
takes 1
that 1
the 26
their 1
they 1
thief 1
thirtyfivepound 1
this 1
time 1
title 1
to 14
transcript 1
treated 1
tries 1
turmoil 1
union 1
up 1
uses 1
using 2
visits 1
war 1
watching 2
well 1
what 1
wheelchair 1
when 2
whenever 1
where 1
while 3
who 2
wife 1
window 1
with 7
without 2
work 1
works 1
world 1
young 1
zero 1
zosh 1
