24952944
/m/09gdjf7
/m/09gdjf7
Kelley Armstrong
2009-04-28
a 11
abilities 1
able 1
after 2
all 2
also 1
and 14
andrew 5
another 1
approached 1
are 2
arrives 1
as 1
asks 1
at 2
attacks 1
aunt 4
awakening 1
back 1
bae 1
be 1
been 3
before 2
birth 1
bus 3
but 3
by 3
can 1
captured 1
carson 1
catch 1
change 1
chloe 8
city 3
coming 1
danger 1
dangerous 1
dawn 1
day 1
dead 1
decide 2
derek 5
diane 2
directly 1
discovers 1
dna 1
dont 1
down 1
edison 6
enhancing 1
escape 2
events 1
eventually 1
ever 1
experimental 1
explains 1
factory 2
fatal 1
father 2
feels 1
find 2
five 1
for 3
friend 1
from 1
gave 1
genetically 1
girls 1
go 1
group 6
guiding 1
has 3
he 2
heading 1
hear 1
hears 1
help 4
helps 1
her 9
hide 1
hiding 1
him 1
hits 1
house 1
how 1
if 2
in 5
is 2
it 2
killed 1
kit 1
lauren 4
lead 1
leave 1
letter 1
like 1
liz 1
looking 1
make 1
man 2
manipulating 1
meet 3
missing 1
modified 1
morning 1
mother 1
necromantic 1
new 3
next 1
niece 1
not 1
of 2
offers 1
on 2
only 1
other 1
own 1
panic 1
place 1
reads 1
realized 1
realizes 1
recaptured 1
recognizes 1
responsible 1
rest 1
run 1
safe 1
safety 2
scientists 1
seemingly 1
she 8
simon 7
some 1
sounds 1
spell 1
struggling 1
subjects 1
summoning 1
supernatural 1
supernaturals 3
supposed 1
suspecting 1
take 1
takes 1
taking 1
team 1
tell 1
tells 2
that 10
the 17
their 1
them 6
there 1
therefore 1
they 9
theyve 1
to 14
tori 6
two 1
unless 1
until 1
up 3
van 1
voice 1
wanted 1
was 3
wasnt 1
were 2
where 3
which 1
while 2
who 3
will 2
witch 2
with 7
woken 1
wonders 1
wouldnt 1
york 3
young 1
