1750909
/m/05t1zd
/m/05t1zd
Barry Unsworth
2002
{"/m/05hgj": "Novel"}
a 2
achilles 1
agamemnon 2
along 1
and 7
army 2
around 1
arrives 1
as 1
at 1
aulis 3
battle 1
be 1
becalming 1
because 1
before 1
behind 1
brought 1
but 1
chasimenos 1
chief 1
connives 1
convinced 2
daughter 1
destiny 1
discovers 1
down 1
dying 1
enroute 1
fly 1
for 2
gamble 1
gods 1
gossip 1
greek 2
he 1
help 1
her 3
hero 1
herself 1
his 1
in 1
iphigenia 4
is 6
island 1
just 1
king 2
last 1
marry 1
men 1
moment 1
must 1
mysterious 1
novel 1
odysseus 1
of 7
offers 1
on 1
own 1
place 1
plot 1
pretext 1
reason 1
restless 1
rumor 1
sacrifice 1
sacrifices 1
satisfied 1
scenes 1
schemes 1
scribe 1
seeking 1
set 1
she 1
sisipyla 2
slave 1
slowly 1
squabble 1
start 1
stuck 1
take 1
that 2
the 17
they 1
to 5
troy 2
under 2
wait 1
while 1
winds 1
with 2
