2192143
/m/06ttbn
/m/06ttbn
Anaïs Nin
1986
131 1
a 2
affair 1
ambiguous 1
an 3
anais 1
and 7
artist 1
at 1
awakening 1
banker 1
be 1
beautiful 1
becomes 1
begins 1
being 1
between 1
both 1
charged 1
charismatic 1
contemplate 1
determine 1
dissatisfied 1
drawn 1
emotional 1
end 1
ever 1
extremely 1
faithful 1
finds 1
formed 1
friendship 2
guiler 1
has 1
henry 1
her 4
herself 1
him 1
however 1
hugh 1
husband 2
intellectual 1
intense 1
involved 1
is 2
it 1
june 3
leaves 1
lives 1
magnetically 1
maintained 1
marriage 1
meets 1
met 1
miller 1
most 1
nin 4
of 2
opening 1
parker 1
perceives 1
possibility 1
prompts 1
pursues 1
relationship 1
sensual 1
sexual 1
sexually 1
she 2
that 2
the 4
their 2
threaten 1
throughout 1
timid 1
to 3
two 1
uninhibited 1
was 1
when 2
which 1
wife 1
with 4
woman 1
would 1
