482983
/m/02fwtj
/m/02fwtj
Philip Roth
1997-05-12
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
14 1
168 1
173 1
a 16
about 2
abysmal 1
act 2
acted 1
actions 2
actual 1
affair 2
after 1
against 1
all 1
also 2
american 1
an 7
and 21
anomalous 1
anyone 1
as 3
at 1
athlete 1
attendee 1
attending 1
based 1
be 1
beautiful 1
because 1
becomes 1
been 4
behavior 1
beliefs 1
believes 1
beloved 1
beneath 1
betty 1
blond 1
blue 1
bomb 1
bombing 2
bombs 1
born 2
built 1
business 1
by 2
bystander 1
called 1
can 1
cast 1
chaos 2
city 1
claims 1
commits 1
concluded 1
concludes 2
conditions 1
conduct 1
consciously 1
country 1
crowley 1
daughter 4
dawn 1
deaths 1
debilitating 1
decides 1
destroy 1
dinner 1
discovers 1
during 2
dwyer 1
dysfunction 1
each 1
emotionally 1
essentially 1
establishes 1
eventually 1
explosion 1
eyes 1
factory 1
family 1
father 2
final 1
first 2
for 1
form 1
friend 1
friends 1
give 1
glove 2
goes 1
good 1
group 1
had 2
hair 1
has 6
have 3
having 1
he 5
her 2
hero 1
hiding 3
him 1
himself 1
his 6
home 2
idol 1
ignore 1
in 20
influences 1
informed 1
inner 1
innercity 1
innocent 1
instead 1
into 2
irishamerican 1
is 6
jane 1
jersey 2
jewishamerican 1
keep 1
kills 1
levov 3
life 3
like 1
living 2
local 1
longer 1
looks 1
made 1
maid 1
manipulated 1
manufacturer 1
marries 1
meeting 1
members 2
merry 5
miss 1
more 2
murders 1
mutual 1
narration 1
narrator 3
nathan 1
new 2
newark 4
no 1
nordic 1
notion 1
number 1
of 15
off 1
office 1
old 2
on 1
other 1
out 1
outraged 1
outwardly 1
over 1
parents 1
participates 1
party 4
pastoral 1
perfect 2
permanently 1
place 1
plants 1
political 2
post 1
protest 1
racial 1
radical 1
raised 1
raped 1
reallife 1
repeatedly 1
respectability 1
responsible 1
resulting 2
reunion 2
reveal 1
reveals 2
rimrock 1
ruined 1
rural 1
satisfying 1
scene 1
secret 1
section 1
see 1
seemingly 1
set 1
several 2
seymour 9
she 5
since 1
singular 1
something 1
son 1
speech 1
sports 1
star 1
states 1
stronger 1
stutter 1
subversive 1
successful 1
surface 1
swede 2
system 1
takes 2
teenage 1
terrorism 1
that 9
the 28
their 2
therapist 1
they 1
things 1
this 3
though 1
three 1
thrown 1
to 6
truth 2
unable 1
underground 1
understand 1
united 1
unknown 1
unrest 1
unwilling 1
up 1
veneer 1
version 1
vietnam 3
war 2
was 1
weather 1
weequahic 1
what 1
where 1
which 1
while 1
who 2
wife 1
willingly 1
winner 2
with 6
world 1
wrack 1
year 1
yet 2
zuckerman 3
