31790926
/m/0gtw9ny
/m/0gtw9ny
Tatjana Soli
2010
15 1
167 1
176 1
a 13
about 1
actually 1
adams 4
adamshelen 1
affection 1
after 5
along 1
also 2
although 1
american 2
an 3
and 34
andre 2
animal 1
annick 2
apologized 1
are 2
army 1
as 4
aspiring 1
assistant 3
at 1
attended 1
bao 1
bau 2
beat 1
became 3
become 2
becomes 2
before 1
befriends 1
begged 1
beginning 1
begun 1
behavior 1
being 1
betrayal 1
between 1
bin 1
blames 1
boss 2
both 1
brother 9
but 3
by 6
ca 1
cambodia 1
came 1
camera 1
captain 1
carrying 1
charlotte 1
child 4
children 1
closer 2
college 1
counties 1
country 1
couple 1
crash 1
crushed 1
darrow 6
dates 1
death 5
decided 2
despite 1
died 2
dreams 1
drinking 1
dropping 1
drugs 1
due 2
end 2
expected 1
exsoldier 2
exwife 1
faced 1
fall 1
falling 1
family 2
famous 2
father 1
fatherinlaw 1
feelings 3
fell 1
felling 1
first 4
fled 1
followed 1
footsteps 1
for 9
forced 1
foreigners 1
frequents 1
friend 1
from 3
gary 1
gilfriend 1
girlfriend 1
give 1
go 1
going 1
guide 1
had 2
hanoi 1
has 1
he 9
head 1
helen 25
helicopter 1
her 12
heritage 1
hide 1
him 2
his 12
however 1
hungarian 1
husband 2
in 15
include 1
is 8
jail 1
jerry 1
jokes 1
killed 3
killing 1
knew 1
korean 1
koropec 1
lan 2
lanmai 1
law 1
left 1
life 2
lihn 14
lily 2
linh 7
losing 1
love 8
loved 1
lover 2
magazine 1
mai 4
maih 1
marine 1
married 3
marries 1
matt 1
mentor 2
met 3
micahel 2
michael 3
mother 2
mr 1
mrs 1
name 2
named 1
neighbour 1
never 1
newspaper 1
ngah 1
ngan 1
nguyen 1
nichols 1
nicknamed 2
north 1
novel 2
obsession 1
of 9
officer 1
older 2
olsen 1
on 1
out 1
owns 1
past 1
people 2
photographer 4
playwright 2
pran 1
pregnant 2
prizewinning 1
problems 1
professor 1
protests 1
protg 1
puppy 1
raped 1
real 2
refused 1
relationship 1
return 2
reunited 1
rival 1
rivals 1
robert 2
saigon 2
sam 17
samuel 2
saved 2
second 2
sells 1
she 10
shortly 1
sister 2
smooted 1
soldier 2
soldiers 1
son 2
soninlaw 1
spy 1
store 1
story 1
struggled 1
tanner 1
taon 1
tells 1
tested 1
thao 2
that 2
the 7
their 3
then 3
they 1
three 1
to 12
together 1
tragic 1
tran 3
traveller 1
trials 1
triangle 2
tried 1
two 2
usaid 1
vientnam 1
vietnam 6
vietnamese 3
war 6
was 13
wedding 1
went 2
were 1
when 1
which 2
while 2
who 19
whom 1
whose 1
widow 2
wife 4
with 7
woman 2
worker 1
xuan 1
young 1
