3286381
/m/093f43
/m/093f43
Lloyd Alexander
1981-04
a 16
abandons 1
able 1
abusing 1
accepts 1
across 1
act 1
affection 1
after 1
ago 1
all 1
allies 1
an 2
and 29
antimonarchist 1
anton 3
are 1
around 1
arrested 2
artist 1
as 3
assassinated 1
attacks 1
attempted 2
augusta 2
augustine 2
band 1
be 2
been 2
beggar 1
begins 1
behalf 1
bombas 2
book 1
break 1
bright 1
brings 1
builds 1
but 1
by 4
cabbarus 9
can 1
canal 1
caroline 2
charade 1
charlatans 1
chase 1
chief 2
child 2
childhood 2
claim 1
claiming 1
come 2
comes 1
companions 1
complicated 1
con 1
conscience 1
control 1
corruption 1
count 2
country 1
countryside 1
court 1
courtiers 1
dangerous 1
dead 2
death 1
decision 1
declare 1
dementia 1
depression 1
designs 1
despite 2
destroy 1
disappearance 1
discover 1
dishonest 1
display 1
distracted 1
does 1
down 1
dr 2
dressing 1
driverpartner 1
dwarf 1
effect 1
efforts 1
else 1
ends 1
ensuing 1
events 1
eventually 4
exile 1
falling 1
fever 1
final 1
find 1
florian 2
followers 1
for 6
fraud 1
freedoms 1
from 3
girl 1
goes 1
government 1
group 4
growing 1
has 7
have 3
having 1
he 1
head 1
heart 1
help 1
her 9
hiding 1
high 1
him 3
himself 1
hired 1
his 15
how 1
however 1
ill 1
illegal 1
illness 1
in 7
increases 1
increasingly 1
instead 1
into 3
investigated 1
is 6
it 2
iv 2
job 3
joins 1
journalist 1
juliana 2
keller 1
kept 1
killed 1
killing 1
king 6
las 2
last 1
later 1
leading 1
leads 1
life 1
long 1
longlost 1
longrepressed 1
loyal 1
major 1
manipulated 1
meanwhile 1
meeting 1
memories 2
men 2
mickle 7
mimicry 1
mind 1
minded 1
minister 2
moneymaking 1
murder 1
musket 2
mystics 1
named 2
new 1
no 1
not 1
of 14
old 3
on 5
one 1
only 1
oracle 3
orphan 1
out 1
over 2
pair 1
palace 1
participating 1
pawn 1
period 1
physician 1
plans 2
plots 1
politically 2
poor 1
powers 1
presents 1
press 1
priestess 3
princess 2
printer 1
printing 1
prison 1
proceed 1
punishment 1
putting 1
queen 4
race 1
raised 1
rather 1
rebel 1
reluctantly 1
remembers 1
responsible 1
restricting 1
reunion 1
revealed 1
revealing 1
reveals 1
revolution 1
ruler 1
salesman 1
save 1
schemes 1
scuffle 1
sends 1
series 1
she 2
shot 1
since 1
six 1
slipped 1
small 1
soldier 1
speak 2
spirits 1
street 1
subject 1
suddenly 1
supposed 1
surface 1
takes 1
talent 1
tastes 1
that 3
the 39
their 4
them 3
theo 8
they 2
this 2
throne 2
throwing 1
to 22
too 1
torrens 2
town 1
tracked 1
trapdoor 1
travelling 1
treason 1
trilogy 1
turn 1
up 4
uprising 1
urchin 1
voice 1
vulnerable 1
was 1
water 1
westmark 4
when 1
where 1
while 2
who 6
will 2
with 6
worry 1
wrath 1
years 1
young 1
