2248773
/m/06z35w
/m/06z35w
Mart Crowley

a 7
about 1
africanamerican 1
aggressively 1
alan 5
alcoholic 1
allegedly 1
an 5
and 6
anxious 1
apartment 1
are 3
as 3
attract 1
attractive 1
audience 1
away 1
backgrounds 1
become 1
becomes 1
believing 1
bernard 1
birthday 2
blond 1
boy 1
bright 1
but 1
by 1
call 2
caller 1
can 1
catholic 1
celebrates 1
characters 1
city 1
claims 1
closest 2
college 1
conflicted 1
couple 1
cowboy 1
culminates 1
cute 1
disagree 1
discovered 1
discuss 1
do 1
donald 1
during 3
each 1
east 1
effeminite 1
emory 1
end 1
finally 1
flamboyant 1
for 1
friend 2
friendenemy 1
friends 2
from 2
game 1
grabs 1
group 1
guest 1
hank 1
harold 3
has 2
he 6
hesitant 1
him 2
himself 1
his 6
homosexual 2
host 1
house 1
humor 1
in 5
increasingly 2
inebriated 1
intended 1
is 10
issue 1
lapsed 1
larry 1
learns 1
lifestyle 1
live 1
longer 1
looks 1
losing 1
loves 1
maid 1
makes 1
male 1
man 1
manhattan 1
men 2
michael 5
monogamy 1
morose 1
mother 1
moved 1
must 1
nasty 1
never 1
nine 1
no 1
not 1
of 5
on 2
one 2
outed 1
party 5
passes 1
phone 1
pines 1
play 1
presents 1
prostitute 1
psychoanalysis 1
realizes 1
roman 1
sees 1
set 1
sexual 1
side 1
six 2
so 1
someone 1
somethingbut 1
spurn 1
still 1
straight 2
takes 1
tell 2
that 3
the 16
thrown 1
to 4
together 1
too 1
town 1
turn 1
undergoing 1
unexpected 1
upper 1
wealthy 1
what 1
when 3
where 2
which 1
white 1
who 6
wife 1
with 1
worked 1
young 1
youthful 1
