11786015
/m/02rs7t_
/m/02rs7t_
Quintin Jardine
1993
{"/m/0lsxr": "Crime Fiction"}
a 6
advocate 1
all 1
also 2
american 1
an 2
and 4
andrew 1
another 1
appears 1
are 1
assistant 1
be 2
been 1
before 1
begins 1
between 1
bob 2
book 1
by 1
called 1
case 1
chief 1
cid 1
close 1
connection 1
conspiracy 1
could 1
dead 1
deeprooted 1
definite 1
despite 1
detective 2
dr 1
dramatic 1
edinburgh 1
features 1
fiancee 1
force 1
found 1
future 1
grace 1
has 1
head 1
his 1
however 1
in 5
inspector 1
international 1
introduces 1
is 4
isnt 1
it 5
killer 1
leading 1
like 1
likely 1
location 1
long 1
martin 1
michael 1
mile 1
mortimer 2
murder 1
murdered 1
murders 1
mutilated 1
name 1
novel 1
of 3
physician 1
place 1
police 2
psychopathic 1
random 1
royal 1
sarah 1
savagely 1
seemingly 1
serial 1
series 1
set 1
similar 1
skinner 4
superintendent 1
takes 2
that 2
the 9
there 1
they 1
think 1
three 1
to 5
twist 1
us 1
what 1
when 2
where 1
who 1
wife 1
with 1
work 1
works 1
