34016208
/m/0hrf9rs
/m/0hrf9rs
Gene Wolfe
2006
{"/m/01hmnh": "Fantasy"}
a 5
affliction 1
african 1
allegedly 1
and 4
are 1
arising 1
army 1
as 2
at 1
battle 1
book 2
books 2
but 1
by 1
can 1
cannot 1
companions 1
conceit 1
continues 1
cure 1
day 2
demigods 2
discovered 1
earlier 2
egyptian 1
encountered 1
events 1
for 1
from 1
gods 2
greek 1
hand 2
having 1
he 1
head 1
his 3
in 7
journey 1
keen 1
king 1
latro 4
mercenary 1
more 1
nile 1
of 7
on 1
ones 1
other 1
own 1
persian 1
plataea 1
present 1
rather 1
recall 1
review 1
scrolls 1
search 1
see 1
states 1
suffered 1
tale 1
than 2
the 13
their 1
this 2
to 1
tony 1
translation 1
two 2
up 1
with 1
wound 1
written 1
xerxes 1
