264813
/m/01n7nb
/m/01n7nb
Watty Piper
1930
a 11
about 1
agrees 1
an 2
and 9
another 2
anthropomorphically 1
are 1
as 4
asked 4
be 2
been 1
blue 1
bravely 1
bravery 1
built 2
by 2
call 1
can 6
cant 1
cars 1
congratulating 1
could 2
desperation 1
destination 1
difficult 1
discouraged 1
down 2
draw 1
drawing 1
early 1
employed 1
engine 11
engines 2
excuses 1
faster 2
few 1
find 1
follows 1
for 6
freightcars 1
front 1
goes 1
grade 3
great 2
had 1
hard 1
has 1
hear 1
heavy 1
high 1
hill 1
however 1
i 17
impossible 1
in 5
is 5
it 10
ithinkican 3
its 2
itself 2
kept 2
large 1
larger 2
little 6
locomotive 1
long 2
mantra 1
many 1
mdash 1
me 1
more 1
morning 1
motto 1
mountain 2
much 1
must 1
neared 1
next 1
of 4
off 1
on 6
one 1
only 2
other 1
over 4
overcomes 1
puffed 1
puffing 1
pull 2
pulled 1
pulling 2
put 1
railroad 1
reached 1
reasons 1
refuse 1
refused 1
repeating 2
request 1
retold 1
roundhouse 1
said 1
same 1
saying 2
seemingly 1
sent 1
side 1
slowly 1
small 1
so 1
station 1
still 1
story 1
stranded 1
succeeds 1
such 1
switch 1
switches 1
take 2
tale 1
task 1
terrain 1
that 1
the 30
theme 1
then 2
they 1
think 6
thought 2
times 1
to 10
told 1
too 1
top 2
train 8
treated 1
try 2
unable 1
underlying 1
up 1
various 1
version 1
waiting 1
was 3
went 3
when 1
which 1
while 2
who 1
willing 2
work 2
yard 1
