92318
/m/0mzbz
/m/0mzbz
Anne McCaffrey
1967
24yearold 1
a 7
abducted 1
advantage 1
alien 2
alive 1
allows 1
amorphous 1
an 1
and 8
apparently 1
are 2
as 3
at 2
beaknosed 1
beautiful 1
been 1
being 2
best 1
body 1
by 2
captured 1
care 1
catatonic 1
clandestinely 1
comes 1
controversial 1
course 1
creatures 1
defeat 1
deposed 1
do 1
domestic 1
done 1
drugged 1
eat 1
emerging 1
enemies 1
escape 1
factor 1
fall 1
flesh 1
for 2
from 4
fully 1
gain 1
given 1
goldenskinned 1
happened 1
harlan 4
have 1
helps 1
her 7
his 1
hook 1
human 2
if 1
in 3
including 1
inhabitants 1
institution 3
intellect 1
into 1
introverted 1
is 10
it 1
job 1
jobs 1
kept 1
knowledge 1
language 1
librarian 1
limited 1
little 1
local 1
lothar 3
lotharian 1
lotharians 1
love 1
meal 1
meat 1
memory 1
menial 1
mental 3
mil 5
mistake 1
moronic 1
new 1
no 1
nose 1
of 11
on 4
one 2
ordeal 1
origins 1
other 1
over 1
own 1
perform 1
physical 1
planet 1
planetary 1
political 1
problems 1
procedures 1
recognizing 1
recover 1
regain 1
regent 1
removed 1
restoration 1
restoree 1
restorees 2
retarded 1
salvaged 1
sara 5
senses 2
she 4
ship 1
ships 1
shock 2
skin 2
solve 1
some 3
state 2
story 1
tasks 1
terran 1
that 2
the 13
their 1
then 1
to 5
treated 1
until 1
virgin 1
were 1
what 2
while 1
who 3
with 2
without 1
york 1
