10732697
/m/02qnl05
/m/02qnl05
Evangeline Walton
1974
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 12
additional 1
after 1
again 1
agrees 1
all 1
also 1
ambling 1
an 1
and 9
annwn 3
arawn 6
as 3
attractive 1
baby 1
bag 2
baiting 1
be 3
beast 1
beaten 1
beautiful 1
beauty 1
been 1
betrothed 1
birds 1
birth 1
both 1
boy 2
brought 1
but 1
by 6
can 1
cannot 1
carry 1
child 2
comes 1
conquering 1
dead 1
death 1
defeated 1
deity 1
detined 1
disappears 1
does 1
dogs 1
down 1
dyved 1
earning 1
eastern 1
encounters 1
enemy 1
enjoys 1
evil 1
exchanges 1
face 1
fact 1
father 1
fight 1
filled 1
foal 2
foe 1
foes 1
for 2
from 1
golden 1
gratitude 1
grows 1
guise 1
gwawl 2
gwri 2
had 1
hair 1
hand 1
has 1
have 1
havgan 2
having 1
he 8
her 2
him 4
his 10
horse 1
hounds 1
however 1
humiliating 1
hunting 1
in 5
increasingly 1
is 9
it 1
land 1
latest 1
lord 2
luxury 1
magic 1
maiden 1
manages 2
masked 1
member 1
monster 1
mortal 2
mother 1
murdering 1
must 2
name 1
never 1
newborns 1
night 1
nonetheless 1
not 1
now 1
number 1
of 13
off 1
offends 1
on 4
ordeal 1
overcome 3
overtaken 1
own 1
owner 1
pantheon 1
parents 1
perils 1
place 1
places 2
pledged 1
prerogatives 1
preys 1
prince 1
pryderi 1
punishment 1
pwyll 5
raiding 1
raise 1
reach 1
real 1
realizing 1
realm 1
recompense 1
released 1
remainder 1
renamed 1
represents 1
rescue 1
resembles 1
return 1
returning 1
returns 1
rhiannon 3
rival 1
ruler 1
sentenced 1
she 1
sleep 1
son 1
stables 1
stag 1
succeeds 1
suitor 1
surprised 1
suspected 1
taken 1
takes 1
teyrnon 3
that 2
the 25
their 1
threat 1
thus 1
time 1
to 15
trade 1
trapping 1
true 1
ultimately 1
underworld 1
unless 1
until 1
up 1
walton 1
was 1
watchful 1
way 1
who 3
whom 3
whose 2
wife 2
win 1
with 2
worry 1
worst 1
year 2
