11271800
/m/02r5vcs
/m/02r5vcs
Hugh Walters
1965
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
able 1
among 1
and 1
as 2
be 1
before 1
by 1
caused 1
chance 1
crash 1
crew 1
despite 1
diversion 1
expedition 1
experienced 1
first 1
giant 1
gravity 1
in 2
into 1
io 1
it 1
its 1
jagged 1
jupiter 2
leading 1
light 1
manned 1
means 1
miscalculation 1
months 1
never 1
not 1
objective 1
of 2
offers 1
only 1
planet 1
problems 1
reach 1
reaches 1
serious 1
several 1
slip 1
speeds 1
stop 1
survival 1
takes 1
tensions 1
that 1
the 5
their 1
they 1
this 1
time 1
to 5
vision 1
well 1
will 2
