4312658
/m/0bwjhl
/m/0bwjhl
Steve Alten
2008
100 1
122foot 1
a 19
ability 1
able 1
accident 1
after 1
aggression 1
aggressive 1
aggressiveness 1
all 4
allow 2
almost 1
along 1
also 1
an 3
and 50
angel 22
angelica 3
angrily 1
animal 1
animals 1
another 2
any 1
anymore 1
appetite 1
approach 1
aquarium 4
are 6
arrange 1
as 3
ashley 4
at 5
attacked 4
attention 2
attract 1
attracting 1
attraction 1
back 3
be 2
beast 1
been 1
before 2
begins 1
behavior 1
being 2
belle 5
berserk 1
besides 1
best 1
bin 5
book 1
brain 2
breathe 1
burst 1
business 1
but 8
by 9
called 2
cannot 1
cant 1
captures 1
carcass 1
catch 2
caught 2
cause 1
causes 1
changes 1
chosen 1
college 1
come 1
comes 2
concluded 1
control 3
coping 1
couple 1
cousin 1
creature 3
creatures 2
crew 1
crush 1
crust 1
cutting 1
damage 1
dani 3
danielle 1
dates 1
david 14
deal 1
death 1
decides 2
depths 1
despite 1
destroy 1
destroyed 1
did 1
died 2
dies 1
discovered 1
distracted 1
dive 2
do 1
docile 1
doesnt 1
down 1
dubai 6
due 3
dunkleosteus 1
during 1
easy 1
eats 1
effectively 1
either 2
end 2
ended 1
enjoyed 1
enticed 1
escape 2
escaped 1
even 2
eventually 2
evolved 2
existence 1
expand 1
expansion 1
facility 1
falls 1
fear 1
feeders 1
feeding 1
feet 1
females 2
ferocity 1
fiesal 1
fight 1
find 3
finds 1
first 1
fish 1
five 1
for 8
formerly 1
free 1
from 4
get 4
gets 4
gigantic 1
girl 1
gives 1
giving 1
go 2
goes 1
going 1
group 2
groups 1
had 1
has 5
hasnt 1
have 7
having 1
havoc 1
he 9
head 1
hell 1
help 3
helps 2
her 10
hidden 1
hiding 1
him 4
himself 1
hinted 2
his 1
holds 1
home 2
how 1
hunting 2
implant 1
in 16
including 1
increased 1
informs 1
injuries 1
injuring 1
insists 1
installation 1
institute 7
interest 1
into 3
is 15
it 4
its 3
job 1
jonas 11
just 1
kate 5
kaylie 7
kill 3
killed 1
killing 2
kills 3
knowledge 1
known 1
knows 1
kronosaurs 1
kronosaurus 1
lab 3
labs 1
land 1
large 3
larger 1
last 2
leave 1
leaving 1
leedsichthys 1
legs 1
life 2
like 1
liopleurodon 8
litter 1
lizzy 5
long 2
lots 1
mac 3
main 1
make 2
males 1
manages 1
manta 2
many 2
maren 3
mariana 1
marine 2
mary 5
may 1
meal 2
meg 5
megalodon 1
megalodons 1
megs 1
michael 3
mission 2
money 1
monster 1
more 2
mosasaur 3
mother 1
mounting 1
moved 1
much 2
murder 1
murders 1
name 1
needed 1
negotiate 1
nets 1
new 3
next 2
night 1
not 2
notices 1
now 2
ocean 2
of 24
off 2
offer 1
offered 1
offspring 1
on 5
one 4
opening 1
opportunity 1
or 2
other 3
out 5
over 1
panthalassa 10
peace 1
pet 1
pilot 2
pilots 1
plan 1
plays 1
possesses 1
pregnant 1
prehistoric 2
pressure 1
preview 1
previously 2
primal 2
primordial 1
prince 1
private 1
problems 1
prologue 1
proportions 1
prospective 1
pups 5
purchasing 1
put 1
quickly 1
rashidi 6
raw 2
ray 2
recruited 1
refuses 2
reined 1
release 5
remaining 1
remains 1
reproducing 1
reproduction 1
reptiles 1
residents 1
resides 1
respond 1
revealing 1
revenge 1
rights 1
same 1
save 2
scarface 2
scientists 1
sea 1
secretly 1
seizes 1
separate 1
separated 1
series 1
serious 1
she 3
ship 1
shortly 1
showing 1
siblings 2
sinks 1
situated 1
size 1
so 2
some 2
son 1
soon 4
stalkers 1
starts 1
state 2
still 1
stimuli 1
stimulus 1
sub 1
submersibles 1
subs 1
summer 2
surviving 1
take 1
talent 1
tanaka 2
taylor 1
taylors 1
team 1
territoriality 1
territory 1
terry 4
that 11
the 82
their 4
them 4
themselves 2
then 1
therapy 1
they 6
this 2
though 2
three 1
through 2
time 1
to 37
too 1
total 1
tracking 1
train 2
trapped 2
trench 2
trip 1
try 1
two 3
ultimately 1
underground 1
underwater 2
unlike 1
up 3
use 2
uses 2
violent 1
wakes 1
want 2
wantsnbsp 1
was 1
waters 2
what 1
when 3
where 2
which 7
while 4
who 4
wild 1
will 3
with 6
without 1
wont 1
work 1
working 2
world 1
wreck 1
wrists 1
years 2
young 2
zahra 1
