1401714
/m/04zp9y
/m/04zp9y
Malcolm Gladwell
2005-01-11
{"/m/05h83": "Non-fiction"}
1 1
41 1
a 11
ability 3
about 2
accuracy 1
accurate 1
advertising 1
age 1
also 3
amadou 1
an 7
analysis 2
and 12
another 1
are 3
argues 1
as 5
asor 1
association 1
at 2
attitudes 1
author 1
be 5
belief 2
better 3
bias 2
big 2
book 2
but 1
by 5
called 1
can 7
cases 1
challenge 1
claims 1
clear 1
collecting 1
collection 1
come 1
common 1
commonly 2
conclusion 1
confirming 1
confusing 1
conscious 1
considered 1
contends 1
contexts 1
corrupted 1
critical 1
dating 1
decide 2
decision 2
decisions 2
describes 1
developed 1
diagnosis 2
diallo 1
disastrous 1
discusses 1
dislikes 1
divorce 1
do 2
doctor 1
does 1
doorstep 1
draws 1
effect 1
effects 1
emotions 1
enough 1
even 3
example 3
examples 3
executed 1
experience 2
experiences 1
expert 1
experts 1
explains 2
face 1
feeling 1
finds 1
focus 1
for 1
forms 1
four 1
from 4
frugality 1
gambling 1
games 1
gauge 1
get 1
gives 1
gladwell 11
glass 1
good 1
greater 1
halo 1
have 1
having 2
he 1
help 1
her 1
his 4
how 4
idea 1
ideas 1
if 1
implicit 1
important 1
improved 1
in 7
individuals 1
information 10
initial 1
innocent 1
instinctive 1
interfere 1
interpreted 1
intuitive 3
irrelevant 1
is 13
it 1
judgment 4
judgments 2
just 2
killing 1
know 1
knowledge 1
level 1
likes 1
limited 1
looking 1
magnifying 1
main 1
make 3
maker 1
malpractice 1
man 1
many 1
may 1
medicine 1
mentions 1
military 1
mind 1
more 4
most 2
movies 1
much 2
music 2
narrow 1
new 1
not 2
of 13
often 2
on 3
ones 2
only 1
operate 1
or 3
other 3
our 4
overload 1
overloaded 1
paralysis 1
particular 1
patient 1
people 1
period 1
person 3
picture 2
planned 1
policemen 1
popular 2
positive 1
predicting 1
prejudice 1
prejudiced 1
prejudices 1
priming 1
proportional 1
psychological 1
quality 1
range 1
rapid 1
rather 1
read 1
really 1
regular 1
reinforce 1
reinforces 1
respects 1
sales 1
salient 1
science 1
shot 1
sift 1
simplicity 1
slice 1
snap 1
sometimes 1
speed 1
spontaneous 1
stereotypes 1
subject 1
such 1
suits 1
superior 1
tells 1
tennis 1
tests 1
than 2
thancarefully 1
that 8
the 15
their 1
then 1
they 2
thin 1
thinslicing 4
this 2
thought 1
through 1
times 1
to 14
too 2
training 1
two 1
unconscious 3
unrelated 1
us 1
uses 2
using 2
very 1
volumes 1
war 1
we 2
what 3
where 2
which 1
whose 1
wide 1
with 4
without 1
words 1
york 1
