6649381
/m/0gg3x2
/m/0gg3x2
Graeme Base

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 10
adventures 1
after 3
aliens 1
all 1
allowed 1
an 1
and 13
another 1
are 3
artistic 1
at 1
authorities 2
authority 1
away 1
b1 1
bad 1
band 5
bandmates 1
base 1
be 2
becomes 1
blipp 5
bonus 1
book 1
build 1
but 3
by 5
called 1
can 1
cd 2
comes 2
competition 3
considered 2
contest 1
context 1
covers 1
creative 2
creativity 3
decides 1
do 1
down 1
effort 1
elder 1
embraced 1
environment 2
eventually 2
exile 2
exiled 1
exiles 2
explains 1
follows 1
for 3
friends 2
from 2
generation 2
generations 1
gets 1
goes 1
graeme 1
grand 1
groob 1
guitarlike 1
he 5
help 1
him 2
his 7
homeworld 2
however 2
imperial 2
imperials 1
improvises 1
in 4
instrument 1
irony 1
is 6
junkyard 1
later 1
leader 1
learns 2
life 1
longer 1
loves 1
makes 1
many 1
mates 1
meets 2
most 1
much 1
music 10
named 1
nearly 1
new 4
no 1
nothing 1
novel 1
of 8
old 1
on 2
one 1
only 1
other 1
out 1
own 1
passed 1
perform 1
performed 2
persistent 1
persuaded 1
planet 3
play 1
powered 1
quickly 1
represent 1
return 1
returning 1
run 1
same 1
sent 1
sham 1
ship 1
should 1
show 1
skat 2
so 1
some 2
splingtwanger 1
sprocc 8
stagnant 2
stifled 1
stifling 1
stopped 1
story 1
stripped 1
supported 1
that 6
the 30
their 2
there 1
they 1
this 3
through 1
title 1
to 6
too 1
traditional 1
universe 2
urban 1
variety 1
viable 1
was 2
wastedump 1
watch 1
ways 1
where 2
who 1
winning 1
with 3
within 1
worst 3
would 1
written 1
year 1
young 1
