6932508
/m/0gxqgr
/m/0gxqgr
Clive Cussler
1983
156 2
30 1
38 2
a 13
about 1
admiral 2
adrienne 2
after 1
all 1
also 1
an 4
and 16
anthropologist 1
any 2
apocalypse 1
area 7
areas 1
around 1
as 3
atlantis 1
atomic 1
attack 2
away 1
base 1
be 1
been 3
before 1
believes 2
bermuda 1
bomb 1
bottom 1
can 1
cannot 1
capsule 1
cases 1
chiefs 1
coming 1
commander 1
communication 1
concentrate 1
condition 1
conducted 1
continent 1
current 1
daughter 2
dc 1
deaths 1
delay 1
design 1
desperate 1
destroy 1
destroys 1
determines 2
did 1
direction 1
dirk 1
disappearance 1
discovered 1
discovering 1
discovers 3
do 1
documented 1
doing 1
down 1
dr 2
effort 3
elect 1
ensure 1
even 1
eventually 1
exhaustive 1
existed 1
existence 1
fall 1
financing 1
find 2
finding 1
finds 1
first 2
fleet 2
followed 1
followers 2
for 3
fortress 1
found 2
frederick 1
from 3
get 1
gone 1
good 1
graveyard 1
hands 2
has 3
have 5
hawaiian 3
he 3
help 1
his 3
hobby 1
human 1
hundred 2
hunter 3
if 2
immediately 1
in 16
intended 1
interest 1
into 2
intuits 1
is 4
island 4
islands 1
it 5
its 2
itself 1
joint 1
just 1
kamehameha 1
kanoli 3
kidnapping 1
kidnaps 1
killing 1
king 1
last 2
lastminute 1
lavella 1
learns 1
leigh 1
lived 1
longago 1
lost 2
love 1
massive 1
matter 1
means 1
men 2
missile 1
missiles 1
missing 2
moran 5
mounts 1
mysterious 2
mythical 1
nation 1
navy 4
nicknamed 1
no 1
north 3
not 3
nuclear 2
numa 1
oahu 2
ocean 1
of 34
off 1
once 1
ongoing 1
only 1
operation 1
or 1
order 1
ordered 1
originally 1
other 1
over 1
pacific 7
pacifist 1
pattern 1
pitt 10
place 1
possible 1
project 1
race 2
raid 1
raised 1
renowned 2
reported 1
reputation 1
reputedly 1
rescue 2
research 1
respected 1
revealed 1
reveals 1
roblemann 1
royal 1
rumored 3
salvage 2
same 1
science 2
sea 1
seamount 2
search 3
searching 2
seconded 1
secret 1
shipping 1
ships 2
should 2
similar 2
since 2
snatch 1
some 1
soviet 1
specialists 1
staff 1
starbuck 2
stave 1
submarine 8
sunk 1
sunken 4
survive 1
suspicious 1
tell 1
that 14
the 59
their 3
them 1
there 1
they 3
this 1
three 1
time 1
tipped 1
to 16
tomb 1
took 1
top 1
topsecret 1
trace 2
triangle 1
turn 1
underwater 1
union 1
using 1
vanishing 1
various 1
vortex 2
was 3
washington 2
well 1
went 2
whatsoever 1
when 3
where 2
while 1
who 2
will 1
with 3
without 2
wreckage 4
wrong 1
years 1
