518060
/m/02krl1
/m/02krl1
Frank Mentzer

{"/m/06c9r": "Role-playing game"}
12 1
51 1
56 1
566 1
57 1
578 1
a 12
adventure 3
adventurers 3
adventures 2
after 1
again 2
against 3
agents 1
allied 1
alone 1
also 1
although 1
an 2
and 21
another 1
appears 1
archcleric 1
archers 1
are 2
area 2
army 2
as 2
at 2
bandits 2
base 1
based 1
battle 2
be 2
became 1
began 2
begin 1
begins 1
beneath 1
besieged 1
build 1
built 1
but 2
came 1
campaign 1
can 2
castle 1
central 1
chapel 2
characters 5
citystate 1
clashed 1
classic 1
coast 1
combined 1
concerned 1
confront 1
conspiracy 1
constructed 1
cooperated 1
creatures 1
cy 5
dd 1
decade 1
deception 1
defeat 2
denizens 1
destroy 1
down 1
drawn 1
dungeons 1
dwarves 1
dyvers 1
early 1
earn 1
elemental 3
elven 1
emridy 1
encounters 1
end 1
enemy 1
enter 1
eponymous 1
escape 1
establishing 1
even 1
events 1
evil 11
experience 1
far 1
fell 1
few 1
first 2
firstlevel 1
five 1
flanaess 1
following 1
for 5
force 1
forces 4
forms 1
fort 1
fortunes 1
four 1
frequency 1
from 8
furyondy 1
gained 1
gaining 1
gnolls 1
gnomes 1
good 1
gradually 1
great 1
greyhawk 1
groups 1
guard 1
helped 1
herself 1
hills 1
hommlet 7
horde 2
hospitable 1
however 1
human 1
humanoids 2
immense 1
in 15
included 1
including 2
increasing 1
increasingly 1
inhabitants 1
initially 1
interact 1
into 2
is 4
its 3
itself 2
kingdoms 1
kron 1
later 1
leaders 1
learn 1
level 1
life 1
located 1
lortmil 1
lose 1
low 1
managed 1
many 2
marauding 1
meadows 1
men 1
mettle 1
minions 1
module 4
money 1
mountains 1
move 1
must 1
near 1
nearby 3
nefarious 1
next 2
normalcy 1
not 1
nulb 2
occur 1
of 29
off 1
ogres 1
on 2
one 1
operate 1
operating 1
opponents 1
or 1
orcs 1
out 1
outcome 1
outside 2
over 1
part 1
party 1
past 1
peace 1
persisted 1
place 1
player 2
popularize 1
possibility 1
powerful 1
practically 1
presence 1
put 1
quickly 1
quieted 1
raiders 1
recommended 1
referenced 1
regular 1
remained 1
remnants 1
return 1
returned 1
riding 1
rising 1
roads 1
rumors 1
scattered 1
section 1
seeking 1
sent 1
set 1
setting 1
several 1
site 2
situated 1
slay 1
small 2
soon 1
spearmen 1
spies 1
stands 1
start 1
stir 1
stone 1
structure 1
subsequent 1
supposed 1
t1 2
t14 2
t2 1
temple 11
test 1
thanks 1
that 2
the 59
their 2
themselves 1
then 2
there 1
thereafter 1
thereby 1
these 2
they 2
things 1
this 1
through 2
title 1
to 18
town 2
travel 2
two 1
unholy 1
used 1
veluna 2
verbobonc 2
victorious 1
village 5
viscount 1
void 1
warm 1
was 4
way 1
weak 1
wealth 1
weary 1
web 1
weeks 1
were 1
which 1
while 1
who 2
wild 1
with 4
within 1
work 1
world 1
years 3
zuggtmoy 1
