3082166
/m/08q4gq
/m/08q4gq


{"/m/0lsxr": "Crime Fiction"}
a 7
abandons 1
alcoholism 1
all 1
along 1
alterego 1
an 2
and 6
any 1
anyone 1
attempts 1
away 1
be 1
becomes 1
brooklyn 1
bug 1
but 1
by 1
childhood 1
commits 1
complex 1
crime 2
day 1
dazed 1
dead 1
death 1
deeper 1
depression 1
develops 1
dinner 1
during 2
early 1
eventually 1
ever 1
falls 2
family 2
father 1
fearing 1
feels 1
flies 1
follows 1
for 3
friends 1
from 2
girl 1
goes 1
great 1
grows 1
guise 1
hap 1
harold 6
harry 1
he 5
her 2
him 2
hire 1
his 11
illness 1
in 5
inability 1
into 2
investigation 1
iris 2
is 1
it 1
join 1
kate 3
killer 1
kingpin 1
later 1
leaving 1
local 2
love 2
madden 1
meanwhile 1
mental 1
mob 1
more 1
mother 3
moves 1
narrator 1
neighborhood 3
next 1
novel 1
odum 1
oedipal 1
of 4
only 1
other 1
own 1
participate 1
partnersincrime 1
person 1
petty 1
place 1
police 1
possessive 1
psychotic 1
rage 1
raised 1
rapes 2
relate 1
relationship 1
resorting 1
ride 1
self 1
sexually 1
shoot 1
slums 1
some 1
son 1
soon 1
spirals 1
suicide 1
syndicate 1
take 1
takes 1
testimony 1
the 12
then 1
this 1
threatens 1
through 2
to 7
traumatized 1
up 2
way 1
who 3
whom 1
with 5
without 1
