18170251
/m/04cwlrb
/m/04cwlrb
Elizabeth Gilbert
2006-02
32 1
a 9
advance 1
after 2
afterwards 1
alone 1
an 1
and 7
around 1
article 1
as 1
at 1
back 1
balance 1
bali 2
bathroom 1
book 1
brazilian 1
but 1
career 1
come 1
contested 1
continued 1
dashing 1
day 1
deal 1
devastated 1
did 1
difficult 1
divorce 2
eat 1
eating 1
educated 1
elizabeth 1
embarked 1
ended 1
enjoying 1
factory 1
finalizing 1
finding 1
floor 1
for 3
form 1
found 1
four 1
from 2
gilbert 3
had 1
he 1
her 7
him 1
home 1
however 1
husband 2
in 7
india 1
indonesia 1
initiating 1
italy 1
leaving 1
life 1
looking 1
love 2
man 1
marriage 1
medicine 1
met 1
months 2
next 1
night 1
ninthgeneration 1
not 1
of 2
often 1
old 1
on 3
one 1
out 1
owner 1
paid 1
pray 1
publisher 1
rebound 1
relationship 1
separating 1
she 6
sleeping 1
some 1
spent 4
spirituality 1
study 1
successful 1
the 8
three 1
time 1
told 1
traveling 1
trip 1
two 1
unhappy 1
vacations 1
was 3
which 2
while 1
who 1
with 2
work 1
world 1
would 1
writer 1
writing 1
year 2
years 1
yoga 1
