3292524
/m/093s7k
/m/093s7k
Stephen King
1989-09-26

a 3
also 1
among 1
an 1
and 2
apple 1
approaching 1
away 1
begins 1
behind 1
blossoms 1
boy 1
chunks 1
death 1
dont 1
elderly 1
falling 1
faster 2
from 1
gives 2
grandson 1
great 1
grow 1
heart 1
hill 1
his 4
hold 1
house 1
how 1
if 1
in 1
instruction 1
is 1
it 2
man 2
move 1
nature 1
of 1
on 1
onto 2
pocket 1
pony 1
pretty 1
rapidly 1
slipping 1
standing 1
takes 1
the 3
then 1
tightly 1
time 2
to 1
up 2
watch 1
when 1
wicked 1
with 1
you 3
young 1
