5260168
/m/0dbc23
/m/0dbc23
Paul Scott
1966-07
a 13
acquaintances 1
after 1
aid 1
all 1
also 2
although 1
an 1
and 18
anything 1
are 1
arrests 1
as 2
at 4
attacked 1
attackers 2
attended 1
attitudes 1
aunt 1
auntie 1
authorities 2
be 3
beaten 1
because 1
become 1
been 3
being 1
bibighar 1
biological 1
birth 1
blindfolded 1
both 1
british 1
brother 1
brought 1
but 4
by 5
calls 1
cannot 1
case 1
cause 1
celebre 1
chance 1
chatterjee 3
child 3
chillingborough 1
circumcised 1
class 1
collapse 1
colleagues 1
comes 1
community 1
conceived 1
condition 1
considers 1
contemptuous 1
could 3
count 1
custody 2
daphne 13
death 1
defense 1
designs 1
despise 1
determine 1
does 1
educated 3
engages 1
england 2
english 5
englishmen 1
even 1
everything 1
family 1
father 2
financial 1
for 5
friend 1
frustrated 1
gardens 1
gazette 1
give 1
group 1
grows 1
hari 18
has 5
hates 1
have 2
he 4
her 12
him 3
hindus 1
his 4
honors 1
humiliation 1
immediate 1
immediately 1
implicated 1
impossible 1
imprison 1
in 8
included 1
includes 1
including 1
india 4
indian 2
indians 2
inquest 1
insists 1
instead 1
instincts 1
interrogation 1
into 2
is 6
its 1
kashmir 1
kinsman 1
knowing 1
knows 1
kumar 1
lady 8
law 1
leads 1
learning 1
learns 1
least 1
lengthy 1
letter 1
like 1
lili 1
live 1
local 1
lost 1
love 3
lovemaking 1
lowermiddleclass 1
make 1
making 1
manners 6
mayapore 3
meanwhile 1
medical 1
meets 1
merrick 5
mob 1
muslim 1
near 1
not 2
obliged 1
of 12
on 2
one 1
only 2
origin 1
ostracized 1
others 1
own 2
park 1
parvati 2
paternity 1
peasants 1
physical 1
pledge 1
police 1
potent 1
preexisting 1
presence 1
privileged 1
prosecute 1
prosecution 2
public 3
puzzles 1
rape 5
raped 1
refusal 1
refuses 1
refusing 1
regarding 1
remaining 1
repeatedly 1
represents 1
resemblance 1
resentful 1
results 1
return 1
returns 1
reviled 1
revolutionary 1
rioters 1
ronald 2
sadistic 1
satisfies 1
say 1
scene 1
school 2
secrecy 1
sends 1
sexual 1
she 8
silence 1
some 1
speaks 1
stay 1
staying 1
steadfastly 1
successfully 1
suicide 1
superintendent 1
support 1
suspected 1
swears 1
sworn 1
taken 1
takes 2
tell 1
testify 1
that 7
the 18
their 1
they 2
threatens 1
thus 1
to 23
triangle 1
unbeknownst 1
under 1
up 1
upon 1
wartime 1
was 4
were 1
when 1
where 1
which 1
while 1
who 5
whole 1
whom 1
will 1
with 3
witnessed 1
young 2
