2008245
/m/06dnqj
/m/06dnqj
Robin Jarvis
1989
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
again 1
agrees 2
air 1
akkikuyu 10
alison 3
all 1
although 2
and 11
appearance 1
are 3
arrives 1
arthur 1
as 3
at 1
audrey 6
be 1
been 1
being 1
bidding 1
body 1
both 3
buried 1
by 3
chitters 1
chooses 1
commit 1
cross 1
crystal 2
dead 1
deal 1
death 1
deptford 1
do 1
end 2
ever 2
fennywolde 1
field 1
final 2
flames 1
flies 1
for 3
freed 1
from 3
full 1
girl 1
great 1
greenwich 1
halfway 1
happier 1
has 1
have 1
he 8
her 1
him 3
his 4
holding 1
home 1
honour 1
hours 1
if 1
ill 1
imprisoned 1
in 6
inhabit 1
into 2
is 14
it 2
its 1
join 1
journey 1
jupiter 4
last 1
later 1
leaps 1
life 1
little 1
live 1
lives 1
madame 2
madamme 2
makes 1
mentioned 1
mice 1
morgan 1
must 1
neither 1
nicodemus 4
night 1
noted 1
now 1
of 2
on 2
opposed 1
or 1
oswald 2
others 1
paths 1
perish 1
piccadilly 1
powers 1
prison 4
proves 1
realises 1
reckoning 2
recovery 1
redemption 1
referring 1
release 1
replace 1
return 2
reveals 1
revenge 1
role 1
ruined 1
sacrifice 1
sacrificed 1
saving 1
series 1
she 1
similar 1
smashed 1
so 1
soon 1
speak 1
spot 1
starwife 2
suicide 1
take 1
takes 1
telling 1
tells 1
than 1
that 7
the 16
their 2
they 2
this 1
thomas 2
those 1
through 1
throughout 1
time 1
to 16
told 1
twit 4
unknowingly 1
unknown 1
unless 1
very 1
void 1
vow 1
vowing 1
went 1
while 2
who 1
will 2
with 2
would 1
