5454096
/m/0dmm2v
/m/0dmm2v
Sonia Nazario
2006
a 3
after 1
again 1
all 1
allows 1
alone 1
along 1
america 1
an 1
and 11
animals 1
apart 1
are 2
authorities 1
back 2
bandits 1
be 2
bearing 1
becomes 1
begs 1
boxcars 1
but 1
by 1
call 1
calls 1
can 1
canclinging 1
carolina 1
children 2
come 1
control 1
cops 1
corrupt 1
courage 1
dangerous 1
de 1
death 1
decides 1
deep 1
deport 1
despairs 1
determination 1
down 1
each 2
el 1
eleven 1
enrique 7
epic 1
evade 1
ever 1
find 3
five 1
fleece 1
for 1
forward 1
freight 1
from 1
gangsters 1
go 2
grade 1
gritty 1
he 8
her 3
him 2
his 5
home 1
honduras 1
hopeand 1
hostile 1
hunted 1
illegal 1
immigrant 1
immigration 1
in 2
is 2
it 1
job 1
journey 1
juanita 1
jump 1
kill 1
kindness 1
la 1
leaves 1
length 1
like 1
little 1
lonely 1
longing 1
lourdes 2
make 2
many 1
mexican 1
mexico 2
migrants 2
money 2
more 1
mother 2
mothers 3
move 1
moving 1
muertethe 1
must 1
north 1
number 1
of 10
off 2
old 1
one 1
only 1
onto 1
other 1
out 1
paper 1
pass 1
past 1
patient 1
police 1
promises 1
pushes 1
quickly 1
return 1
rob 1
route 1
school 1
seeing 1
send 1
sets 1
she 3
side 1
sides 1
slip 1
so 1
states 2
step 1
strangers 1
struggles 1
tegucigalpa 1
telephone 1
tells 1
than 1
the 15
their 1
them 2
they 2
third 1
thousands 1
through 2
to 11
tops 2
tracks 1
train 1
trains 2
travels 1
trek 1
tren 1
troubled 1
united 2
unknown 1
up 2
using 1
way 2
when 2
will 3
wit 1
with 2
without 2
worlds 1
year 1
years 3
