423605
/m/026rnp
/m/026rnp
Jack London
1908
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
107 1
112 1
132 1
2600 1
41 1
a 12
accomplished 1
acts 1
ad 1
addition 1
admired 1
adventurous 1
africa 1
air 1
aligned 1
all 3
already 1
also 1
alternate 1
america 2
an 4
and 29
anthony 1
appendix 1
appreciated 1
are 6
army 1
arose 1
around 1
as 12
asgard 1
asia 2
at 3
autobiography 1
avis 5
bankrupting 1
barons 1
based 1
be 5
became 2
before 1
bom 1
both 1
break 1
brotherhood 2
building 1
business 1
but 2
by 5
canada 1
canal 1
caste 2
centuries 3
chance 1
childhood 1
city 1
class 1
come 2
commentary 1
completed 1
comrades 1
condescendingly 1
confirms 1
conquered 1
consolation 2
constructed 1
contemporaries 1
core 1
correcting 1
covers 1
created 1
cruel 1
crushed 1
cuba 1
daughter 1
decent 1
deepens 1
deliberate 1
deny 1
described 1
did 1
discussed 1
distant 2
during 1
dystopian 1
east 2
education 1
effective 1
elevated 1
empire 1
employ 1
end 2
ernest 3
errors 1
essential 1
essentially 1
europe 1
ever 1
everhard 9
executed 1
exist 1
explicitly 1
exposing 1
fact 1
failure 1
fall 2
farmers 1
fates 1
favored 1
fell 1
fictional 2
first 2
follows 1
footnotes 1
for 5
foreordained 1
formed 2
forty 1
found 1
from 6
further 1
future 4
gained 1
george 1
get 1
getting 1
given 1
gives 1
happy 1
has 1
having 1
he 1
heavily 1
heel 1
her 4
hid 1
his 2
hopes 2
housing 1
how 2
however 1
humanity 1
hundreds 1
imminent 1
in 16
incomplete 1
indeed 1
independence 1
india 1
individuals 1
industries 1
introduction 2
involved 1
iron 1
is 10
it 1
its 1
itself 1
jack 2
japan 1
know 1
labor 2
largest 1
late 1
later 3
leading 1
left 1
lengthy 1
levee 1
levels 1
like 1
live 1
lived 1
london 3
love 1
maintains 2
man 2
manage 1
manuscript 3
marriage 1
martyrs 1
mercenaries 3
meredith 6
mexico 1
middle 2
midsized 1
military 1
monopoly 1
most 1
name 1
needs 1
north 1
not 1
novel 5
of 27
officially 1
often 3
oligarchies 1
oligarchs 1
oligarchy 7
on 1
or 5
orwell 1
other 2
out 1
own 2
perspective 6
pioneers 1
plight 1
politically 1
posterity 1
poverty 1
power 2
preparations 1
privileged 1
proletarians 1
public 1
rail 1
reader 1
readers 1
realize 1
reducing 1
remains 1
repression 1
republic 1
resistance 1
respected 1
revolt 5
revolution 1
revolutionary 2
robber 1
same 1
scholar 2
scientist 1
second 4
serfdom 1
series 1
she 2
side 1
silent 1
small 1
smith 1
so 1
social 1
socialist 2
south 1
specifically 1
spoiler 1
squeeze 1
states 1
steel 1
still 1
story 1
strewn 1
struggles 1
subsequently 1
succeed 1
succeeds 1
such 1
summarily 1
sure 1
tale 1
telling 1
tells 1
term 1
that 6
the 63
their 2
them 1
there 2
these 1
they 1
this 4
though 2
thousands 1
three 1
through 3
thus 1
time 2
to 15
told 1
too 1
total 1
tragedy 1
tragic 2
treachery 1
trusts 1
turn 1
two 2
underground 1
understanding 1
unions 2
united 1
until 1
us 3
used 1
ushers 1
vindicated 1
wages 1
warning 1
was 1
we 1
well 2
were 2
whenever 1
which 4
who 1
wholenbsp 1
will 1
winston 1
with 4
wondercity 1
work 1
would 6
writers 1
writes 2
writing 1
written 2
years 6
yet 2
