26279560
/m/0b77y26
/m/0b77y26
Dan Rhodes
2010-02-04
a 1
and 4
appear 1
are 1
around 1
believes 1
bizarre 1
centres 1
characters 1
cleaner 1
curator 1
dedicated 1
doctor 1
doomed 1
ernst 1
founder 1
frlicher 1
german 1
grey 1
grim 1
hell 1
her 1
herr 1
his 1
hulda 1
husband 1
including 1
is 1
its 1
lifestories 1
luciano 1
madalena 1
museum 2
novel 1
of 1
pavarottilookalike 1
pavarottiobsessed 1
portuguese 1
respectable 1
schmidt 1
secret 1
she 1
shocking 1
short 1
student 1
suicidal 1
suicide 1
the 6
to 2
various 1
who 1
with 1
