2352274
/m/075y8h
/m/075y8h
Greg Cox
2006-05-23
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
after 4
again 1
allows 1
alpha 4
and 17
animal 1
any 1
arrive 1
arriving 2
assassinate 1
assassination 1
at 1
battles 1
bay 1
become 1
been 1
begins 2
bizarre 1
blames 1
book 1
botany 1
build 1
but 2
by 2
causes 2
ceti 5
challenged 1
changes 1
checking 1
climate 1
colony 1
commanded 1
control 2
creature 1
death 1
died 1
disrupts 1
do 2
ear 2
eel 2
emerges 1
end 2
enough 1
explodes 1
faction 1
failed 1
fellow 1
few 1
follow 1
followers 1
for 4
form 1
from 2
given 1
had 1
hardships 1
has 1
hell 1
her 6
herself 1
him 4
his 3
hot 1
in 5
instead 1
is 3
james 1
khan 13
kill 2
kirk 2
later 1
leave 1
life 1
longer 1
losing 1
loss 1
love 1
lt 1
major 1
many 1
marla 3
materialize 1
mcgivers 2
men 3
more 1
most 2
never 1
new 1
next 1
not 1
novel 2
of 7
on 9
only 1
orbit 1
order 1
other 1
part 1
passes 1
phaser 1
placing 1
planet 8
plant 1
provide 1
reason 1
rebels 1
refuge 1
remains 1
rescue 1
resist 1
sees 2
several 2
she 1
some 1
space 1
springs 1
ss 1
stranding 1
suits 1
supermen 4
supplies 1
surface 1
system 1
take 1
taking 1
that 3
the 28
them 1
then 1
this 2
throughout 1
time 2
times 1
to 8
try 1
two 1
underground 2
v 2
vi 1
vital 1
waits 1
water 1
whatever 1
why 1
winning 1
wish 1
with 2
women 2
years 1
