27608409
/m/0c3z3m3
/m/0c3z3m3
Dan Wells


15yearold 1
a 6
above 1
and 1
become 1
becomes 1
being 1
book 1
by 3
careful 1
case 1
check 1
cleaver 1
connection 1
constant 1
designed 1
diagnosed 1
due 1
ensnared 1
fated 1
fears 1
follows 1
he 4
his 3
homicidal 1
impulses 1
in 3
is 2
john 1
keep 1
killer 3
lives 2
morgue 1
mother 1
of 2
owned 1
plagued 1
regime 1
rules 1
selfdenial 1
senses 1
serial 2
set 1
so 1
sociopath 1
that 1
the 2
threatened 1
to 3
urges 1
violent 1
wayne 1
when 1
which 1
who 1
with 1
