732229
/m/036lcw
/m/036lcw
Clive King
1963-06-01
a 10
adventures 1
all 1
an 1
and 10
any 1
anyone 1
as 2
at 1
away 1
back 2
backwards 1
barney 9
because 2
before 1
believes 1
black 2
book 1
bottom 1
break 1
bright 1
brilliant 1
build 1
built 1
burglars 1
but 2
camping 1
cant 1
catching 1
caveman 2
chalk 2
close 1
collecting 1
collection 1
come 1
construction 1
course 1
den 4
discarded 1
doesnt 2
down 2
downs 1
during 1
edge 1
end 1
engaged 1
even 1
eyes 1
falls 1
final 1
find 1
firewood 1
forwards 1
found 1
four 1
friend 1
from 1
get 1
gigantic 1
give 1
going 1
grandparents 2
great 1
hair 1
hardly 1
has 2
have 2
he 2
helping 1
his 3
hot 1
house 2
hunting 1
improving 1
in 3
interesting 1
into 2
is 9
it 4
junk 1
know 1
language 1
lives 1
longer 1
looks 1
lou 2
magical 1
manage 1
meet 1
midsummer 1
much 1
mystery 1
night 2
no 1
noone 1
not 1
of 9
old 2
on 1
onto 1
or 1
out 3
over 1
own 1
people 3
pit 2
place 2
position 1
quarry 1
rather 2
real 1
really 3
roof 1
round 1
rubbish 1
secret 1
seem 1
seems 1
shaggy 1
shift 1
shortstory 1
since 1
sister 1
sleep 1
so 1
some 1
spend 1
standing 1
stig 14
stone 1
stones 1
stop 1
sultry 1
sunrise 1
surprise 1
tell 1
that 3
the 12
their 2
them 1
themselves 1
then 1
there 2
they 5
thought 1
through 1
throw 1
time 3
to 11
together 1
transported 1
travel 1
tribe 1
tumbles 1
until 1
used 1
very 1
way 1
we 1
well 1
when 2
where 1
who 1
with 3
without 1
