5416143
/m/0dkwvn
/m/0dkwvn
Bolesław Prus

1848 1
1863 1
187778 1
a 17
abolishing 1
about 1
addition 1
admirer 1
adventures 1
africa 1
after 1
against 2
age 1
also 1
an 4
and 13
apartment 1
are 5
aristocrat 1
aristocratic 1
aristocrats 2
army 2
arrears 1
as 4
at 6
bachelor 1
bankrupt 1
be 1
becomes 1
beginning 1
begins 2
believe 1
below 1
bonaparte 2
british 1
brute 1
bulgaria 1
business 1
by 4
career 1
cause 1
chapter 1
cki 1
codeletter 1
colleagues 1
comes 1
company 1
conflict 1
connected 1
constant 2
daughter 1
despondence 1
diary 2
dies 1
distressed 1
dolls 2
downfall 1
dreams 1
during 1
earlier 1
end 1
enlist 1
enterprising 1
europe 2
eventual 2
eventually 1
everywhere 1
excitement 1
exemplified 1
exile 2
eyes 1
failed 1
fall 1
falling 1
family 1
father 1
fighting 1
financially 1
finds 1
first 1
focuses 1
for 3
fortune 1
founds 1
freedom 1
frequenting 1
friend 2
gain 1
garret 1
generation 1
generations 1
glimpses 1
go 1
gone 1
haberdashery 1
had 5
halfstarving 1
hands 1
hardly 1
has 1
he 10
hears 1
heart 1
help 1
her 3
heroic 1
highlights 1
him 1
his 8
hopes 2
hopfer 1
house 1
huge 1
human 1
hungarian 1
hungary 1
ignacy 1
iii 2
impoverished 1
in 22
inclined 1
indications 1
inertia 1
infatuation 1
inhabit 1
into 2
intruder 1
is 5
it 2
izabela 3
julian 2
katz 1
landlord 1
last 1
late 1
later 1
latter 1
learns 1
life 2
lives 2
longawaited 1
loulou 2
love 1
macabre 1
makes 1
man 1
manager 1
marrying 1
memories 1
merchant 1
merchants 1
met 1
mincel 1
modeled 1
modest 1
money 1
name 1
napoleon 4
new 1
noble 1
novel 2
now 3
ochocki 1
ochorowicz 1
of 21
old 1
on 4
one 1
only 1
over 1
overarching 1
overcome 1
own 1
owner 1
p 1
part 1
partnership 1
perished 1
personal 1
persons 1
persuasion 1
places 1
plebeian 1
plot 1
polish 2
politics 1
pranks 1
preoccupied 1
press 1
prince 1
probably 1
proves 1
provides 1
prus 1
quest 1
ranks 1
rarefied 1
reactionary 1
reader 1
rebel 1
rebels 1
red 1
refers 1
rent 1
reposed 1
represented 1
restaurant 1
return 1
revolution 1
revolutionary 1
romantic 1
russia 1
russian 2
russoturkish 1
rzecki 6
salesman 2
salesmen 1
salons 1
science 1
scientist 1
scion 2
seen 1
sees 1
sentenced 1
set 1
sets 1
shareholders 1
siberia 1
social 1
socialist 1
socialists 1
society 1
some 3
son 1
sparked 1
standing 1
store 2
students 2
superficial 1
supplying 1
system 1
taking 1
that 4
the 33
theaters 1
their 1
them 1
theme 1
they 1
third 1
through 2
to 11
tomasz 1
tribesmen 1
triumphed 1
tsarist 1
two 2
up 2
uprising 1
uses 1
vacuous 1
waiter 1
war 1
warsaw 3
was 1
when 1
whereas 1
which 2
while 1
who 3
widow 1
will 1
win 1
with 6
wokulski 10
world 1
writes 1
young 2
younger 1
youth 1
