2085971
/m/06l5wr
/m/06l5wr
Beryl Bainbridge

{"/m/0hwxm": "Historical novel"}
a 1
account 1
amundsen 1
and 3
beats 1
biologist 1
bowers 1
by 1
captain 1
different 1
dr 1
each 1
edward 1
endeavour 1
evans 1
explorer 1
failure 1
falcon 1
finally 1
firstperson 1
five 1
give 2
hardships 1
henry 1
lawrence 1
lieutenant 1
medic 1
month 1
narratives 1
norwegian 1
oates 1
of 2
officer 1
on 1
perspectives 1
petty 1
pole 1
problems 1
roald 1
robert 1
scholar 1
scott 1
ship 1
south 1
taff 1
the 6
their 2
them 1
to 1
voyage 1
wilson 1
