15285623
/m/03hp1x1
/m/03hp1x1
Mollie Hunter
1975
a 6
aa 1
abducts 1
able 1
about 1
accused 1
after 1
all 1
along 1
also 1
an 2
and 14
another 1
appalled 1
appear 1
are 5
around 1
as 5
ashore 2
at 1
attack 1
away 2
back 1
be 1
beautiful 2
becomes 1
bed 1
been 1
before 3
begins 1
being 1
believe 1
black 1
bride 2
bursts 1
but 6
butandbenhouse 1
by 1
calls 1
calm 1
came 1
can 2
cannot 1
celebration 1
child 1
choose 1
claims 1
clutches 1
coming 1
convinced 1
corbie 1
crouched 1
da 3
deep 1
did 1
dies 2
dislike 1
does 2
dog 3
door 2
dry 1
dwells 1
each 1
elder 1
elspeth 3
entranced 1
escape 1
every 1
except 1
eye 2
eyes 2
family 2
fear 1
fiancee 1
fight 1
figure 1
find 1
finn 14
fish 1
flees 1
for 2
form 1
from 1
gazes 1
girls 2
goes 1
golden 1
goldenhaired 2
grandfather 1
great 5
hair 1
handsome 2
has 2
have 1
he 14
hears 1
heavy 1
helly 1
help 2
hendersons 2
her 2
hides 1
him 5
himself 1
his 11
home 2
horrified 1
human 1
humans 1
hunt 1
in 4
indeed 1
instant 1
into 4
is 10
join 1
knew 1
land 1
later 1
lean 1
learson 6
long 1
longer 2
low 1
magic 1
main 1
malign 1
man 3
many 1
marry 1
morph 1
mysteriously 1
ness 1
nicolnicol 1
night 3
no 2
noises 1
not 4
of 8
often 1
old 3
on 3
one 3
only 1
or 1
out 1
outside 1
palace 1
peculiar 1
peek 1
pulling 1
raven 1
remaining 1
remembers 1
reminds 1
retired 1
return 1
returns 1
revealed 1
reveals 1
robbie 11
roof 1
room 1
ruler 1
schoolmaster 1
sea 4
seal 2
seals 1
seapalace 1
seduces 1
seductive 1
see 1
seems 1
seen 1
selkie 5
selkies 2
sending 1
senses 1
she 2
shed 1
shipwreck 1
sister 1
sitting 1
skin 1
sleep 2
sleeping 1
so 1
soaking 1
spirits 1
states 1
still 1
stories 2
storm 1
survivor 1
suspicious 1
takes 1
tall 1
tam 4
tempt 2
that 7
the 24
their 3
then 2
there 1
they 1
through 1
to 19
trap 1
tries 1
trust 2
try 1
under 2
up 1
uses 2
ventures 1
very 1
warns 1
was 1
water 1
wet 1
what 2
when 1
whenever 1
where 1
which 1
who 4
will 2
with 4
without 1
wizard 1
yarl 5
years 1
youngest 1
