10933137
/m/02qvdsw
/m/02qvdsw
Armistead Maupin
1989
{"/m/05hgj": "Novel"}
28 1
a 7
adopted 1
affections 1
aka 1
also 1
ambitious 1
and 9
ann 2
anna 1
anticipated 1
any 1
apart 1
area 1
around 1
as 3
away 1
back 1
band 1
barbary 1
beauchamp 1
beautiful 1
beauty 1
boshomp 1
breaks 1
brian 1
briefly 1
brood 1
by 1
calls 1
caretaker 1
ceiling 1
chief 1
children 1
cold 1
coming 1
coowner 1
daughter 2
down 1
even 1
every 1
excitement 1
famous 1
fledged 1
for 1
francisco 1
from 2
gardening 1
given 1
greek 1
has 1
have 1
having 1
hawkins 1
he 2
hearts 1
her 4
his 3
hiv 1
holiday 1
host 2
house 2
husband 1
in 6
ingenue 1
into 1
introduced 1
is 5
job 1
lady 1
lane 1
left 1
lesbos 1
logical 1
lover 1
madrigal 1
mary 2
michael 2
mispronouncing 1
mona 1
more 2
mouse 1
naif 1
nationally 1
new 2
noe 1
not 1
noticing 1
now 2
nursery 1
of 5
offered 1
often 1
on 1
onceinalifetime 1
our 2
over 1
own 1
parenthood 1
party 1
person 1
plant 1
positive 1
puppy 1
ramsey 1
rattles 1
referred 1
romance 1
san 1
sands 1
series 1
settle 1
settled 1
shawna 1
she 3
short 1
show 2
singleton 1
sprinklers 1
started 1
syndicated 1
tales 1
talk 1
tears 1
terms 1
tested 1
thack 1
the 12
their 1
then 1
there 1
time 1
to 4
toes 1
tolliver 1
tomcat 1
tv 1
until 1
up 1
us 1
valley 1
wanders 1
warms 1
ways 1
whisk 1
who 2
whole 1
with 4
world 1
wriggled 1
york 1
