4390666
/m/0b_qsh
/m/0b_qsh
Penelope Farmer
1969
118 4
185 1
a 13
able 2
about 6
addresses 1
adult 1
after 1
again 1
agnes 5
ago 1
also 1
always 1
an 5
and 27
anger 1
another 2
appears 1
are 3
armistice 1
around 2
arrives 2
arriving 1
arthur 5
arthurs 1
as 10
asks 1
at 4
attempt 2
attended 1
back 4
be 2
because 1
become 2
bed 5
behind 1
being 3
between 2
bewilderment 1
boarding 1
book 2
boy 1
brother 1
brown 3
browns 1
but 3
by 4
called 1
calls 1
cannot 1
celebrate 1
charlotte 33
chisel 4
clare 14
comes 2
contains 1
conversation 1
cries 1
crisis 1
crying 1
curtains 1
dance 1
day 1
died 2
different 2
disciplined 1
discovered 1
discuss 1
disgrace 1
does 1
dormitories 1
dream 1
dreams 3
drummer 1
during 1
each 1
edition 1
elderly 1
elizabeth 2
emily 16
emma 1
enter 1
epidemic 2
escapes 1
even 1
evening 1
events 1
eventually 1
exercise 2
expecting 1
experience 1
experienced 1
family 1
father 2
fighting 1
fights 1
finally 2
find 2
finding 1
finds 3
flu 2
for 3
form 1
forty 1
forward 1
from 3
future 1
games 1
get 1
gift 1
girl 1
girls 4
given 1
gives 1
go 1
gregory 1
had 3
has 6
have 1
head 1
hear 1
heard 1
her 17
herself 3
hide 2
hold 1
home 1
homes 1
house 1
identity 4
if 1
in 26
inside 1
into 3
is 13
it 5
join 1
knew 1
known 1
last 3
later 2
learn 2
learns 1
leg 2
let 1
letter 3
letters 1
live 1
lives 1
lodgings 1
meanwhile 1
miss 5
morning 1
mother 4
motherless 1
moving 1
mr 1
must 1
named 1
new 1
next 1
night 3
not 3
nurse 1
observe 1
occupied 1
of 10
on 1
once 1
one 4
only 1
other 2
out 2
over 2
own 6
package 1
past 2
people 1
perhaps 1
place 1
plan 1
play 1
played 1
prefect 1
preserve 1
read 1
realises 1
recalls 1
receives 1
reflects 1
return 2
returned 2
revised 1
room 2
roommate 1
ruth 2
same 1
sarah 6
school 6
seance 3
seeing 1
seen 2
sees 1
segment 1
sent 1
share 1
she 17
shocked 1
shown 1
shows 1
sick 2
sister 2
sleep 1
sometimes 1
speak 1
stay 1
street 1
struggles 3
student 1
students 1
surprised 1
swap 1
swapping 1
take 1
tells 3
that 5
the 49
their 1
them 2
then 1
they 6
this 1
though 1
thoughtful 1
thus 1
time 8
times 2
to 23
toys 3
trapped 3
turned 1
two 4
unwanted 1
voice 2
war 5
what 2
which 3
while 1
whilst 1
who 3
whom 1
wild 1
wilkin 1
will 5
with 6
woman 1
wonders 2
would 1
wretchedness 1
write 1
wrote 1
year 1
years 1
young 1
younger 1
