1889380
/m/063_cw
/m/063_cw
Archibald MacLeish

a 3
accept 1
accidents 1
an 1
and 6
any 1
are 1
as 2
assuming 1
banker 1
begin 1
believe 1
by 3
calling 1
cause 1
challenges 1
children 1
circus 2
comforters 1
confronted 1
contradicting 1
corner 1
create 1
curse 1
declines 1
describe 1
destroyed 1
enormous 1
exchange 1
explanations 1
faithfulness 1
finally 1
for 4
former 1
god 5
he 2
him 1
his 7
history 1
horrible 1
if 1
in 4
inside 1
instead 2
is 2
jb 5
just 2
life 3
millionaire 1
mr 1
new 1
nickles 3
obedience 1
observe 1
of 3
offer 2
old 1
opens 1
or 1
out 1
play 1
playwithinaplay 1
plight 1
property 1
prosperity 1
punishment 1
quiet 1
refuses 1
religion 2
representing 1
respectively 1
reward 1
roles 1
ruined 1
sarah 1
satan 1
science 1
scorning 1
show 1
solace 1
spite 1
streets 1
suicide 1
takes 2
tent 1
that 1
the 9
them 1
they 2
three 1
to 8
together 1
toward 1
two 2
urging 1
vendors 2
visited 1
watch 1
wealthy 1
when 1
who 1
wife 1
will 2
zuss 3
