4619848
/m/0ccz_4
/m/0ccz_4
Joe Haldeman


120s 1
121 1
16 1
2006 1
a 18
abandoning 1
abilities 1
able 1
about 1
across 1
actually 1
affair 1
affects 1
aged 1
all 3
allowing 1
along 1
altogether 1
an 4
and 18
anything 2
appears 1
are 3
arrest 1
arrested 1
as 9
at 2
attempt 1
attempts 1
attention 2
attracting 1
attracts 1
authorities 1
awareness 2
back 6
backwards 1
bag 4
baird 9
be 4
because 1
become 1
bedazzle 1
been 1
before 3
begin 1
between 1
blast 1
blasts 1
body 1
boston 2
both 1
brings 1
but 2
by 4
call 1
carbon 1
career 1
carries 1
castle 5
castlemaine 1
catastrophic 1
coconspirators 1
collection 1
comes 4
completely 1
conflicting 1
consciousness 1
containing 1
continues 1
control 1
copies 2
create 1
creates 2
crisis 1
crystallizes 1
cultural 1
day 1
dead 1
deaths 1
defy 1
destiny 1
devastated 1
different 2
do 1
doing 1
doom 1
down 1
drops 1
each 1
eidetic 1
else 1
encountered 1
encounters 1
end 2
ends 1
enraged 1
entities 2
entity 6
escaped 1
especially 1
even 3
events 1
eventually 1
exact 1
exchange 1
exist 1
experiences 1
experiencing 1
f 1
face 1
fail 1
fake 1
fatal 1
few 1
final 1
find 1
finds 1
first 3
florida 2
flow 1
follow 1
for 3
freed 1
from 4
future 1
get 1
gets 1
give 1
giving 1
goes 1
grifter 2
hadley 3
happened 1
has 3
have 2
having 1
he 16
hemingway 19
here 1
him 5
himself 6
his 9
hoax 1
how 1
however 2
humans 1
if 1
imitating 1
implied 1
in 22
inducing 1
influence 1
influenced 1
initially 1
instead 2
is 9
it 9
john 2
kennedy 1
key 1
killer 1
kills 2
knowing 1
last 1
later 1
leaders 1
learn 1
legal 1
lena 1
library 1
life 1
like 1
little 1
loss 1
lost 2
macho 1
manuscript 3
manuscripts 1
many 1
masculine 1
massive 1
may 2
memories 2
memory 1
michigan 1
model 1
mouth 1
moves 1
much 1
multiple 3
mysterious 1
nature 1
new 1
novel 4
now 1
nuclear 1
odd 1
of 19
off 2
offers 1
omniverse 1
on 6
one 3
or 2
other 1
our 1
out 2
outlook 1
outofstate 1
own 2
paper 1
parallel 3
paris 1
parisian 1
passed 1
paths 1
persists 1
person 1
personality 1
persuaded 1
point 3
possessed 1
possible 1
premonition 1
present 1
psychic 1
psychotic 1
pursued 1
quarter 1
reach 1
reaching 1
real 1
rearrange 1
refuse 1
refuses 1
reluctant 1
research 1
reverberations 1
reverse 1
roughly 1
same 2
scheme 2
scholar 3
second 1
seductress 1
see 1
seems 1
seen 1
separates 1
setback 1
sets 1
seventyfive 1
shifted 1
shoots 1
short 1
shotgun 2
show 1
similar 1
since 1
slightly 1
so 1
some 1
somewhen 1
somewhere 1
spaces 1
speaks 1
speculation 1
stay 1
stays 1
steals 1
stories 2
story 2
stroke 1
suddenly 1
suffered 1
suicide 1
superpower 1
supposed 2
surprised 1
surprises 1
survive 1
survived 1
sylvester 1
takes 1
than 1
that 9
the 55
them 1
themes 1
then 1
there 2
they 2
thief 1
third 1
this 4
those 1
threat 1
three 1
through 1
thus 1
time 6
timeline 1
timelines 2
to 28
tormentor 1
train 3
trauma 1
travelling 1
trickery 1
turn 1
turns 1
two 2
typewriter 1
universe 1
up 5
used 1
vanishing 1
versions 1
violently 1
wakes 1
war 1
warns 1
warrant 1
we 3
well 1
west 1
what 1
when 4
where 1
whether 1
who 1
whom 1
wife 2
will 1
with 10
without 2
women 1
world 2
worse 1
writing 2
years 1
young 1
