19006335
/m/04jcshg
/m/04jcshg
Jack Vance

a 2
able 1
adventurer 1
agent 1
allows 1
an 1
and 2
are 1
attempting 1
be 1
beautiful 1
been 1
bequeathed 1
blackthorn 1
bursill 1
by 1
caught 1
council 1
creator 1
death 1
discovers 1
dominate 1
drive 2
during 1
each 2
earthfolk 1
engines 1
escape 1
fay 1
five 2
for 2
gold 1
has 1
help 1
hidden 1
his 1
home 1
hope 1
how 1
human 1
humans 2
in 4
interstellar 1
irish 1
is 2
it 1
knowledge 1
locations 1
manufacture 1
monopoly 1
mutant 3
mutants 1
normal 1
of 6
on 1
one 1
paddy 3
picaresque 1
place 1
planets 1
race 1
resume 1
rightful 1
rings 2
ruling 1
safekeeping 1
searches 1
secret 3
sentenced 1
space 3
species 1
steal 1
stored 1
that 2
the 11
their 1
them 2
to 5
travel 1
which 1
will 1
with 2
