1240617
/m/04lc1x
/m/04lc1x
Kurt Vonnegut
1990
a 7
acquaintance 1
after 2
an 1
and 1
as 1
at 1
be 1
becomes 2
break 1
breakout 1
but 1
by 3
college 3
commentator 1
conservative 1
corporation 1
daughter 1
destroyed 1
dismissal 1
employer 1
escapees 1
eugene 4
eventually 1
fired 1
former 1
from 3
having 1
hiroshi 1
his 5
hocus 1
hostage 1
in 1
inmate 1
into 1
ironically 1
is 5
japanese 1
job 1
led 1
massive 1
matsumoto 1
nearby 1
occasional 1
occupied 1
of 4
old 1
ordered 1
overcrowded 1
pocus 1
popular 1
presumably 1
prison 7
professor 1
professorship 1
recorded 1
run 1
same 1
several 1
since 1
staff 1
surreptitiously 1
take 1
teacher 1
that 1
the 10
then 2
to 2
turned 1
type 1
via 1
warden 2
was 1
who 1
witticisms 1
