3345895
/m/096y6s
/m/096y6s
Clive Cussler

{"/m/017rf8": "Techno-thriller", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
130sera 1
131 1
16 1
1865 1
300nbspkm 1
a 43
abe 1
able 2
aboard 2
about 3
above 1
abraham 2
actor 1
actually 1
adaptation 1
admiral 4
adrar 1
after 5
air 1
aircraft 2
airplane 3
airport 2
al 3
alarm 1
algal 1
alger 1
algeria 1
algiers 1
all 2
almost 1
along 2
also 4
amelia 1
american 1
an 15
ancient 1
and 46
any 1
anything 1
appalling 2
appears 1
archaeological 1
are 12
area 1
armed 1
army 2
array 1
arrive 1
arrives 1
artists 1
as 4
assassinated 1
at 11
attack 3
attacked 1
attacker 1
attacks 1
attempt 1
attempts 1
australian 1
aviation 1
avions 2
battered 1
be 3
been 4
before 4
being 3
benin 2
best 1
blockade 2
bloom 1
board 3
body 1
book 1
borrow 1
boss 1
both 1
bourem 1
brings 1
brought 1
buggy 1
build 1
built 1
businessman 1
but 3
by 14
calliope 1
calm 1
captain 1
captured 3
car 3
carburettors 1
carry 1
case 1
cave 1
chemical 2
chopper 2
civil 2
cleaned 1
close 2
coast 1
collection 1
comes 1
coming 1
commando 1
communication 1
completely 1
comprehensive 1
conditions 1
confederate 5
conspiracy 1
consume 1
contact 1
continued 1
contracted 1
convoy 1
could 2
country 1
courier 1
crash 1
crashed 1
crates 1
crossing 1
cruise 2
css 2
cut 1
days 1
decide 1
decides 1
deck 1
decreases 1
defeating 1
delta 2
desert 4
deserted 1
destroyed 1
destroys 1
detail 1
details 1
determine 2
detoxification 1
diary 2
dictator 1
dig 1
direction 1
dirk 4
disappearance 1
discovered 1
discovery 1
disease 1
diseases 1
disguise 1
dispatched 1
do 1
dock 2
documents 1
dr 1
drawn 1
drinks 1
drive 1
driving 1
dropping 1
dug 1
dump 3
dumping 1
e 1
earhart 1
earlier 1
easier 1
east 1
eat 1
edge 1
edwin 1
egypt 1
en 1
end 1
engage 1
engineers 1
entering 1
enters 1
equipment 1
equipped 1
escape 2
escapes 1
eva 2
even 1
eventual 1
everything 1
extinguish 1
facility 8
fact 1
fast 1
filled 1
film 1
finally 1
find 6
firing 1
fleet 1
flies 1
flown 3
flows 1
fly 1
flying 1
for 15
force 2
forced 1
forces 3
foreign 1
fort 3
fortress 3
fouls 1
found 1
foureau 3
french 3
friend 1
from 9
fueled 1
gao 1
gas 1
gave 1
general 6
gets 1
giordino 7
giving 1
go 1
gold 2
good 1
ground 1
growing 1
growth 2
guard 1
guards 1
guide 1
gunn 5
had 3
harbour 1
has 2
have 3
having 1
he 3
health 1
heavy 1
helicopter 2
her 10
here 2
hide 1
highperformance 1
hijack 1
him 1
hired 1
his 6
hope 1
hours 1
houseboat 2
how 1
hurriedly 1
identify 1
in 21
indeed 1
inform 1
informed 1
injuries 1
inside 1
international 1
interrogation 1
into 6
investigate 2
investigating 1
involved 1
ironclad 4
is 27
it 5
its 1
james 1
jumping 1
just 3
kazim 6
kill 1
killing 1
kitty 2
know 1
knowing 1
laboratories 1
lady 1
land 1
landing 1
lands 1
last 2
later 1
launched 1
leak 1
leave 1
lee 1
legendary 1
legion 1
let 2
level 1
lie 1
life 2
lincoln 3
litres 1
live 1
loaded 1
local 1
long 1
losses 1
lost 3
lying 1
m 1
make 3
mali 3
malian 5
malnutrition 1
manage 3
mannock 5
mapping 1
massarde 6
matters 1
mauritaina 1
mauritania 1
meanwhile 1
mention 1
mine 3
minute 1
monitor 1
moves 2
mr 3
museum 1
mysterious 2
naked 1
name 1
navy 4
neutral 1
new 1
news 1
niger 2
nile 1
no 2
nomad 1
north 2
not 5
now 3
odd 1
of 21
off 1
on 8
only 4
onto 1
open 1
ordered 2
organization 1
out 4
outside 1
over 3
overboard 1
overshadowed 1
own 2
oxygen 1
painting 1
pass 1
passing 1
past 1
pick 1
picked 1
picks 1
pilot 1
pitt 8
placed 1
plan 1
plane 6
plant 1
plot 2
pollutant 5
polluted 1
possibly 1
presence 1
prisoner 4
prisoners 3
processing 4
quest 1
quickly 2
rate 1
ravine 1
reach 5
reaches 1
reaching 1
real 1
rebuild 1
record 1
recordbreaking 1
red 2
redeyed 1
refreshing 1
regarding 1
removed 1
reported 1
rescue 4
rescued 3
research 1
restored 1
return 1
returns 1
right 1
river 6
rivermdashbut 1
robert 1
rojas 1
route 3
rovers 1
rudi 2
run 3
runs 1
ruthless 1
safety 1
sahara 2
salute 1
same 1
sand 5
sandecker 3
savages 1
scene 1
scheduled 1
scientific 1
scientist 1
scientists 1
sea 1
search 3
searching 1
secret 1
secretary 1
secretly 1
security 1
seen 1
seize 1
selfdestruct 1
send 1
sent 2
several 2
severe 2
shared 1
she 3
