5028836
/m/0c_kht
/m/0c_kht
Joe Dever
1994
{"/m/03ff00": "Gamebook", "/m/0dwly": "Children's literature"}
a 4
all 1
among 1
and 5
are 1
armed 1
artefact 2
be 1
becomes 1
by 1
carry 1
chosen 1
clutches 1
contains 1
created 1
creators 1
danger 1
darkness 1
death 1
distant 1
divine 1
embark 1
en 1
encounter 1
exiled 1
fabled 1
from 1
godlike 1
grand 1
has 2
however 1
in 2
intrigue 1
is 1
isle 2
it 2
its 1
kai 2
king 1
knowledge 1
legendary 1
life 1
lone 2
lorn 2
magic 1
magnamund 1
master 2
might 1
mission 2
moonstone 2
most 1
must 2
naar 1
new 1
now 1
of 9
order 1
out 1
promising 1
ranks 1
remote 1
retrieving 1
returned 1
route 1
secret 1
shianti 2
skills 1
someone 1
southern 1
special 1
struggle 1
succeeded 1
sum 1
supreme 1
take 1
that 1
the 17
their 2
this 1
to 4
upon 2
vital 1
voyage 1
warrior 1
was 1
weapons 1
when 1
who 1
wisdom 1
with 1
wolf 2
you 3
your 1
