2441005
/m/07d7f1
/m/07d7f1
Mark Twain
1899-12
1 2
20 1
40000 1
41000 1
a 14
able 1
about 1
accept 1
across 1
actual 1
advice 2
again 1
ago 1
all 3
always 1
an 3
and 30
anguish 1
another 2
anticipation 1
anxiety 1
anyone 1
are 6
arises 1
around 2
arrives 2
as 2
at 5
attention 1
auction 3
avoid 2
await 1
bad 2
be 2
beam 1
because 1
become 1
been 1
before 1
begin 1
behind 1
being 4
between 1
billson 1
both 2
burgess 7
burn 1
bursts 1
but 3
buying 1
by 4
catches 1
causes 1
centers 1
changes 1
chapter 4
checks 1
citizens 2
claim 4
claims 6
clean 1
come 1
confesses 1
contain 1
contains 1
continues 1
contrives 1
corrupt 1
corrupting 1
country 1
couple 1
couples 3
credit 1
cuts 1
damaged 1
day 2
decide 1
decides 1
delivers 1
desire 1
despair 1
did 1
die 2
discovered 1
dishonesty 2
dispute 1
distraught 1
dollars 1
done 1
down 1
drops 1
early 1
easy 1
ecstatic 1
ends 1
enjoys 1
even 2
exactly 1
explaining 1
fall 1
far 2
favor 1
find 1
finds 1
first 2
following 1
foolish 1
for 6
former 1
fret 1
from 5
full 1
future 1
gains 1
gave 1
get 1
give 2
given 1
go 2
gold 6
grow 1
guess 1
guilt 1
had 1
hadleyburg 6
hadleyburgtry 1
half 1
hall 3
has 1
have 5
he 6
hell 1
him 2
his 3
honest 2
honesty 2
house 1
however 1
i 1
identical 1
identify 1
ii 1
iii 1
ill 1
in 11
includes 1
incorrect 1
incorruptible 1
initially 1
inside 1
intentionally 1
into 2
irreparably 1
is 9
it 10
its 3
itself 1
iv 1
kept 1
know 1
known 1
laughter 1
lawyer 1
lead 2
letter 3
letters 1
lifechanging 1
line 1
long 1
make 1
man 5
manage 1
mango 1
mark 1
meeting 2
members 1
message 1
model 1
money 2
mood 1
more 1
most 1
mr 7
mrs 6
my 1
mysterious 1
name 2
napping 1
nation 1
nearly 1
need 1
neither 1
never 2
news 1
next 1
not 2
note 2
obvious 1
of 18
off 3
offend 1
old 1
on 1
once 1
one 4
only 1
open 2
opened 1
or 2
other 1
outsiders 1
over 1
owner 1
packed 1
paranoid 1
passing 1
people 3
pieces 1
place 1
plan 1
plot 1
point 1
presented 1
price 1
pride 1
prominent 2
proposes 1
public 1
publicly 1
purchase 1
purportedly 1
quickly 1
read 4
reads 2
receive 1
received 1
recklessly 1
reform 1
reformor 1
reluctant 1
remark 8
rename 1
reporters 1
reputation 2
residents 2
resolve 1
responsible 1
rest 1
return 1
revealed 2
revealing 1
reveals 2
revenge 2
reverend 1
reward 1
richards 11
richardses 1
right 1
rightful 1
rise 1
sack 10
same 4
says 1
scheme 1
second 1
set 1
settle 1
shadbelly 1
shamed 1
shortly 1
should 2
sins 1
situation 1
some 2
soon 2
spread 1
spreads 1
start 1
stop 1
stories 1
story 1
stranger 6
submit 2
suggests 1
supposed 1
surprisingly 1
temptation 3
tested 1
that 8
the 74
their 11
them 2
they 5
things 1
think 1
those 1
throughout 2
time 2
to 34
totaling 1
town 13
townsperson 1
trained 1
trying 1
two 2
unbeknownst 1
unsure 1
up 1
upstanding 1
vows 1
was 2
way 1
wealth 1
what 1
whether 2
which 1
who 5
whole 2
wife 1
will 4
wilson 1
with 8
wordssome 1
worth 1
write 1
you 3
your 1
