13074809
/m/02z5jb_
/m/02z5jb_
Michael Morpurgo
1995
{"/m/0hwxm": "Historical novel"}
107 1
a 5
about 1
aground 1
and 11
are 1
area 1
as 1
atlantic 1
back 1
billy 1
bleak 1
blurb 1
book 2
brings 1
brother 1
buildings 1
buthe 1
by 1
catalyst 1
changes 1
channel 1
closes 1
coast 1
come 1
cornwall 1
crew 1
decides 1
destroys 1
devastates 1
diary 2
diarythe 1
disappears 1
end 2
english 1
everybody 1
everything 2
families 1
from 1
full 1
girl 3
hardship 1
health 1
his 1
hope 1
however 1
hungry 1
i 1
in 2
is 10
island 5
isles 1
it 2
kills 1
laura 2
leave 1
left 1
life 2
little 1
livestock 1
major 1
many 1
marzipan 1
meets 1
michael 2
name 1
new 1
nurses 1
of 6
off 1
on 4
one 1
plan 1
presented 1
rescue 1
residents 1
returns 1
rocks 1
runs 1
sad 1
said 1
says 3
scilly 1
sea 1
seain 1
seems 1
severe 1
she 1
ship 1
simplethe 1
small 1
storm 1
storms 1
subjected 1
subplot 1
taken 1
tell 1
that 4
the 27
then 1
there 1
this 1
to 7
turtle 1
twin 1
until 1
what 1
when 1
where 1
which 1
wreck 2
wrecked 1
written 1
young 1
zanzibar 6
