22904127
/m/063_lvb
/m/063_lvb
Kathy Oltion
2000-07
a 5
alien 1
an 1
and 2
are 1
armed 1
be 1
been 1
belle 2
between 1
colony 2
dealing 1
determined 1
distance 1
enterprise 1
every 1
exact 1
expansion 1
federation 1
first 1
for 2
have 1
human 3
in 1
is 5
it 1
james 1
just 1
kill 1
kirk 1
last 1
latest 1
mineral 1
months 1
muchneeded 1
new 2
of 3
on 1
place 1
planet 1
point 1
race 1
reason 1
rights 1
section 1
series 1
set 1
space 1
stopover 1
strategic 1
terre 2
that 1
the 7
there 1
this 1
threats 1
to 3
too 1
unfortunately 1
up 1
uperweapon 1
valuable 1
vitally 1
with 2
