9141901
/m/027z5v_
/m/027z5v_
Don Perrin
1996
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0d6gr": "Reference", "/m/02xlf": "Fiction"}
100 1
a 27
abandoned 1
about 1
above 1
actually 1
after 11
agreement 1
all 1
almost 1
an 3
and 27
ansalon 1
any 1
appears 1
are 8
arent 1
ariakan 1
armies 1
army 1
arrive 1
assigned 1
assist 1
at 1
auger 1
away 2
back 2
barely 1
bargaining 1
battle 1
battling 2
be 2
beat 1
been 2
before 4
begging 1
being 1
believes 1
below 1
better 1
blunt 1
bodies 1
book 3
bozak 1
breed 1
brigade 2
burned 1
bury 1
but 4
by 4
called 1
camp 4
can 1
cant 1
carry 1
catches 1
cause 1
celebundin 1
chaos 1
chief 1
chronicles 1
city 1
commander 2
commands 1
complete 1
conquering 1
consist 1
continue 1
cool 1
couple 1
cover 1
create 1
creates 1
creature 1
creatures 1
crippling 1
curious 1
curse 1
dark 2
day 1
days 2
deadly 1
decide 1
decides 1
defeat 1
destroy 2
die 1
dies 1
dig 1
discover 2
discovers 1
disgusted 1
does 1
doesnt 1
doom 1
down 1
draconian 4
draconians 14
dragon 2
dragonarmies 1
dragonarmy 3
dragons 3
drives 1
dust 1
duty 1
dwarf 3
dwarven 3
dwarves 13
each 1
eggs 4
en 1
ending 1
ends 1
engineering 1
enter 1
entering 1
entire 1
every 1
exit 1
fact 1
fade 1
fall 1
falls 1
female 1
females 2
few 1
fifth 1
fighting 1
find 4
fire 1
first 3
five 3
flames 1
float 1
follow 1
for 8
force 2
former 1
forward 1
four 2
from 4
gaining 1
gains 1
general 1
gloth 1
goal 1
goblins 1
good 1
grand 1
great 1
green 1
grell 2
grells 1
ground 1
group 1
grown 1
guards 2
had 1
has 4
hasty 1
have 5
he 15
hears 1
heartened 1
hes 1
hidden 1
hill 1
him 4
himself 4
his 7
horizon 1
however 5
huzzud 4
idea 1
if 1
in 9
including 1
injured 2
inside 1
inspect 1
inspecting 1
into 5
invisible 1
is 6
it 6
join 3
joined 1
just 4
kang 20
kangs 4
keep 1
keeping 1
kharolis 1
kill 1
knife 1
knight 1
knights 1
knocked 1
knowing 1
krynn 2
lair 1
lance 1
large 1
last 1
later 2
latrine 1
lava 2
leader 2
leading 1
leads 2
leaves 1
led 2
left 1
leg 1
life 1
like 1
lily 1
live 1
long 2
losing 1
lost 1
made 2
make 1
makes 1
managed 1
many 1
map 6
massive 1
meanwhile 1
meets 1
men 1
meters 1
molten 1
moorthane 1
more 1
mortar 1
mountains 1
move 2
mud 1
nail 1
negotiating 1
neighbors 1
neighbours 1
neraka 1
nerakan 1
nest 2
new 1
nights 1
nordmaar 1
note 1
novel 1
now 1
number 1
obeys 1
occurred 1
octopuslike 1
odd 1
of 25
on 9
once 1
one 4
only 6
or 2
ordered 1
orders 3
other 4
out 8
outskirts 1
over 2
own 1
pact 1
pair 1
pass 1
passage 1
pestle 1
plains 1
plotting 1
posts 1
precious 1
previous 1
proposes 1
pursues 1
put 1
qualinost 1
queen 2
quest 1
race 1
raiding 2
raids 1
reach 1
reaching 1
realize 1
realizes 4
realizing 1
receptive 1
recover 1
red 1
regaining 1
regiment 8
regiments 1
regularly 1
remove 1
report 1
reports 1
rescue 1
rescuing 1
respect 1
retake 1
retinue 1
retreat 2
retreated 1
retrieve 1
return 1
returns 1
revenge 1
revolts 1
riches 1
rises 1
rock 1
rocks 2
roof 1
room 1
route 1
rush 1
rushes 1
scouts 1
search 2
secret 1
secreted 1
selquist 5
set 3
shape 1
she 1
shift 1
short 2
shows 1
signs 1
silent 1
since 1
slaughter 1
slaying 1
slith 4
sliths 1
slowly 1
small 2
so 3
solidify 1
some 1
soon 1
south 1
speaking 1
spirits 1
squabble 1
stalagmites 1
steal 2
stumble 2
stunned 1
subcommander 2
supplies 1
taking 1
talon 2
task 1
temporarily 1
test 1
that 13
the 94
their 13
them 1
then 3
there 1
they 15
this 4
thorbardin 4
three 1
through 3
time 1
to 40
told 2
too 1
town 4
trapped 1
traveling 1
treasure 3
treasures 2
trips 1
troops 1
tunnels 1
turns 1
twenty 2
twentyfour 1
unable 1
unbeknownst 1
unconscious 1
underground 1
unfortunately 4
unhatched 1
unstopped 1
untamed 1
until 2
up 3
upon 1
use 1
uses 1
valley 1
valleys 1
very 1
victim 1
village 3
visited 1
voice 1
waking 1
wand 5
war 3
warns 1
was 1
water 1
way 3
weak 1
weapons 1
weeks 1
welltrained 1
when 1
where 1
whether 1
which 4
while 5
who 6
wishes 1
with 4
within 1
would 2
years 1
young 2
