7693730
/m/02692qt
/m/02692qt
Stephen Woodworth
2005-10-25
1 1
13 1
500yearold 1
a 7
age 1
alone 1
an 2
ancient 1
and 4
andes 1
archaeologist 1
artifacts 1
as 3
at 1
betrayal 1
beyond 1
boast 1
but 2
by 2
can 1
cannot 1
channeling 1
chilling 1
closer 1
crime 1
crimes 2
crimesolving 1
cut 1
daughter 1
dead 2
died 1
enters 1
escape 3
every 1
faces 1
family 1
far 1
fill 1
find 1
from 4
get 1
gift 1
greed 1
has 2
head 1
her 7
imagining 1
in 2
incan 1
interviewing 1
is 1
job 2
leading 1
lindstrom 1
lived 1
mdash 2
mountains 1
murder 2
natalie 5
now 2
of 5
off 1
one 1
organization 1
out 1
peru 1
power 1
priceless 1
punishment 1
rage 1
reach 1
realization 1
recruit 1
requirement 1
she 3
silence 1
site 1
slaughtered 1
slaughterers 1
so 1
solve 1
speak 1
step 1
storm 1
takes 1
terror 1
that 2
the 10
their 1
those 1
to 8
tooland 1
towering 1
trove 1
truth 1
uncovers 1
used 1
victims 1
voices 2
wants 2
who 1
with 1
