23871057
/m/0gfc_w0
/m/0gfc_w0
David Drake
1999-08
a 53
abilities 1
about 1
accidentally 1
acolyte 1
acolytes 3
across 1
actuality 1
actually 1
adoptive 1
after 3
age 1
aids 1
ajar 1
allies 1
alman 3
almana 1
also 1
ambassador 2
ammonite 4
ammonites 1
among 1
amphisbaena 4
an 7
ancestor 1
ancient 2
and 59
angry 1
animate 1
another 3
ansalem 15
ansalemn 1
ansalems 1
anselm 1
anymore 1
apparently 1
appeared 1
appears 3
apprentices 2
are 9
aristocrat 1
armies 1
army 1
around 1
arrive 1
arrives 1
art 1
as 6
ascertains 1
ashore 3
assigns 1
associated 2
at 9
atheist 1
attack 2
attacked 1
attacks 2
attapercommander 1
away 1
back 7
backbut 1
bash 1
battle 1
be 5
beach 1
beautiful 2
been 4
beetles 3
before 2
begging 1
begin 1
beginning 1
beginnings 1
begins 1
being 4
beyond 1
bickering 1
bird 3
birdlike 1
birds 1
blaise 1
blood 2
blue 1
bodies 1
body 3
bodyguard 2
bondage 1
bordered 1
borrow 1
bound 1
boy 1
bridge 8
bridges 2
bring 1
brokendown 1
brothelbarge 1
brought 1
burns 1
but 9
by 7
called 1
can 5
captain 2
captured 2
careful 1
carried 1
carus 4
cashel 19
cashela 1
cashels 1
cast 1
casting 1
castle 2
casts 1
cavern 1
celondrea 1
centuries 1
chalcus 4
chalcusa 1
chambers 3
chancellor 1
chanteyman 1
characters 1
chashel 1
chasm 2
child 1
city 2
claims 1
climb 1
colva 6
colvaa 1
come 2
comes 2
coming 1
companions 2
completely 1
confronted 1
connect 1
connection 1
conniving 1
contains 1
content 1
control 1
cordin 1
count 1
covered 1
creature 5
creatures 1
crews 1
cross 3
crystal 2
cyst 1
dalar 2
dalara 1
dalarand 1
dangerous 2
day 1
days 1
dead 4
deal 1
defeat 1
defeats 1
demon 2
demoness 2
demons 1
deposits 1
depths 1
description 1
descriptions 1
destroyed 2
destroys 1
destruction 2
determines 4
different 2
disappears 2
discover 2
discovers 3
distracted 1
disturbing 1
do 2
doesnt 1
door 2
dragon 4
dragonsan 1
dreams 1
druginduced 1
due 1
during 1
