18830192
/m/04grny5
/m/04grny5
Karen Traviss

{"/m/06n90": "Science Fiction"}
a 2
agents 1
ahsoka 2
anakin 2
and 8
are 1
army 2
as 2
asajj 1
at 2
brings 1
but 1
clone 3
consequences 1
count 1
crime 1
dark 2
dooku 1
droid 1
during 1
effort 1
ensure 1
facetoface 1
fail 1
falling 1
farreaching 1
find 1
follows 1
forces 2
front 1
further 2
galactic 1
heroic 1
his 2
hutt 1
in 1
including 1
jabba 1
jedi 1
kenobi 1
knights 1
lead 1
learner 1
lines 1
lord 1
maintain 1
massive 1
master 1
meanwhile 1
mission 1
more 2
nefarious 1
neverending 1
nothing 1
obiwan 1
of 4
on 2
one 1
order 1
padawan 1
peace 1
prey 1
quest 1
republic 1
resist 1
restore 1
separatists 1
side 2
sinister 1
skywalker 1
slips 1
stop 1
story 1
struggle 1
sway 1
systems 1
tano 1
that 2
the 15
their 2
them 1
themselves 1
they 1
to 4
tumultuous 1
under 1
valiant 1
ventress 1
wars 2
will 1
with 2
yoda 1
