5064635
/m/0d13n7
/m/0d13n7
Judy Blume
1993
a 2
acne 1
all 1
allison 1
along 1
an 1
and 6
aside 1
at 1
attention 1
been 1
best 1
better 1
boarding 1
book 2
boy 1
break 1
brother 1
charles 3
counseling 1
cousin 1
crush 1
dates 1
deal 1
despairand 1
differences 1
dragon 1
driving 1
ellis 1
end 2
even 1
expelled 1
fact 1
family 3
feels 1
from 1
get 1
gets 1
girls 1
gorgeous 1
grade 1
has 2
he 1
help 1
her 7
how 1
if 1
in 8
interested 1
is 6
island 1
it 1
jeremy 1
jessica 1
kisses 1
kravitz 1
learn 1
least 1
looking 1
mediroswho 1
negative 1
ninth 1
of 3
older 2
on 1
overachiever 1
parents 1
paul 1
perfectionist 1
perspective 1
problem 1
put 1
rachel 4
resents 1
robinson 2
school 1
she 2
sight 1
sister 1
stephanie 1
tarren 1
that 2
the 10
their 3
this 1
through 1
to 6
tries 1
trip 1
tutor 1
who 3
with 2
written 1
