6426851
/m/0g4y48
/m/0g4y48
Anne McCaffrey
1998-01-12
a 4
adulthood 1
age 2
all 1
along 1
also 1
and 2
as 1
at 2
been 1
bring 1
but 1
by 2
childhood 1
composed 1
disguise 1
drudge 1
duel 1
early 1
elected 1
father 1
fax 2
flar 1
grew 1
had 1
he 2
helped 1
her 1
him 1
his 4
holders 1
in 4
inhabitants 1
jealous 1
journey 1
killed 1
lessa 1
lord 3
many 1
masterharper 1
most 1
mother 1
musicallyinclined 1
nurturing 1
of 3
petiron 1
present 1
provoke 1
rapacity 1
rejected 1
relatively 1
robinton 3
setting 1
she 1
since 1
songs 1
spent 1
successful 1
the 4
to 3
tried 1
unanimously 1
unsuccessful 1
up 1
used 1
very 2
warn 1
was 5
when 1
which 1
wit 1
with 1
young 1
