3803226
/m/0b0tmj
/m/0b0tmj
Steve Alten
1997-07
156 1
a 10
above 1
after 1
again 1
also 1
an 2
ancient 1
and 12
anew 1
apart 1
apparently 1
are 1
area 1
as 5
asks 1
attack 1
attacking 1
attacks 1
back 1
barrier 1
bathed 1
be 1
because 1
becomes 1
before 2
being 1
believed 1
birth 1
blood 1
boats 1
body 1
both 1
bottom 1
breaks 1
but 4
by 2
capture 2
captured 1
carnage 1
cold 3
colder 1
connecting 1
considered 1
crackpot 1
creature 1
cutting 1
deep 1
depths 1
disbelieved 1
dive 1
diver 1
doesnt 1
down 1
dragging 1
ducts 1
due 1
earthquakes 1
eating 1
ecosystem 1
effects 1
emerge 1
encounter 1
ending 1
enough 1
entangled 2
escaping 1
estranged 1
even 1
eventually 1
extinct 1
far 1
female 4
flood 1
follows 1
for 3
free 1
friend 1
from 2
geothermal 1
get 1
giant 1
gives 1
go 1
has 2
have 1
he 4
heart 1
heated 1
help 1
helps 1
hence 1
highly 1
him 1
his 1
however 1
in 7
including 1
indeed 1
informational 1
inner 1
is 10
it 10
its 3
jonas 3
keeping 2
keeps 1
kill 1
killing 1
kills 1
larger 1
left 1
limited 1
liquid 1
long 2
maggie 1
make 1
male 3
manage 1
manages 2
mariana 3
masao 1
massive 1
matters 1
meg 2
megalodon 6
metal 1
mother 2
nautical 1
navy 1
negative 1
novel 1
ocean 2
of 5
off 1
offspring 1
old 1
on 3
only 1
paleontologist 1
people 1
pick 1
predator 1
predict 1
pregnant 1
prompts 1
properly 1
protected 1
prove 1
ramming 1
range 1
reach 1
reaches 1
real 1
recover 1
rips 1
ropes 1
sea 1
sees 1
shark 4
sharks 2
she 2
ship 1
slicing 1
sometimes 1
son 1
species 1
start 1
starts 2
state 1
states 1
still 1
submarine 1
submersible 2
surface 2
survived 1
survivor 1
take 1
tanaka 3
taylor 3
that 3
the 44
them 1
there 1
they 2
throat 1
through 2
title 1
to 13
topsecret 1
tracked 1
trapped 2
traversed 1
trench 4
tries 1
unis 1
united 1
unleashing 1
unless 1
unmanned 1
up 2
upwards 1
vulnerable 1
warm 3
warmer 1
warmth 1
was 1
water 5
waters 1
way 1
whales 1
where 2
which 2
wife 1
wish 1
working 1
worse 1
would 1
