10550517
/m/02qhk2n
/m/02qhk2n
Mary Kirchoff
1990-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 3
an 1
and 7
around 1
autumn 1
beast 1
before 1
boyhood 1
bring 1
buyer 1
by 1
can 1
changed 1
die 1
discover 1
discovered 1
dragons 1
dwarves 2
enemies 1
escape 1
everything 1
evil 1
expected 1
fighting 1
fireforge 1
five 1
flint 4
foil 1
foothills 1
for 2
force 1
form 1
gods 1
group 1
gully 2
has 1
he 3
heroes 1
him 1
his 1
in 3
into 1
is 4
king 2
lance 1
look 1
make 1
near 1
new 1
now 1
of 4
pit 1
plans 1
poking 1
producing 1
prosperous 1
pushed 1
rescued 1
returning 1
returns 1
set 1
signs 1
sleepy 1
so 1
solace 1
split 1
starts 1
stirring 1
struggles 1
that 2
the 10
their 1
them 1
to 5
together 1
twilight 1
unknown 1
up 1
use 1
village 2
weapons 1
when 1
where 1
who 1
world 1
years 1
