10857898
/m/02qs6c8
/m/02qs6c8
Victoria Holmes
2003-01-21
a 13
accepts 1
after 1
all 1
alone 1
along 1
ambitious 1
an 1
ancestors 1
and 9
apprentice 1
at 1
attain 1
away 1
back 1
backyard 1
barley 1
barn 1
battle 2
be 1
because 2
becoming 1
begins 1
between 1
bluestar 4
bond 1
but 4
by 3
calls 1
can 1
cat 2
cats 1
clan 5
collar 1
company 1
day 1
deputy 1
does 1
feared 1
fight 1
fights 1
finds 1
fire 2
fireheart 1
firepaw 5
forms 1
from 2
gets 1
gives 2
giving 1
goal 1
graypaw 5
graystripe 1
happening 1
have 1
having 3
he 3
him 2
his 6
house 1
however 1
impossible 1
in 3
into 2
invite 1
is 6
it 1
join 1
kill 2
knows 1
land 1
lead 1
leader 2
lionheart 1
living 1
loner 1
longtail 1
loses 1
making 1
medicine 1
member 1
mentor 1
might 1
most 1
murdered 1
name 3
named 1
new 1
next 1
not 1
nothing 1
of 6
our 1
out 1
outnumbered 1
over 1
plans 1
prevent 1
prophecy 1
ravenpaw 4
realizes 2
receives 1
redtail 3
retreat 1
riverclan 1
run 1
runs 1
rusty 6
safe 1
save 1
says 1
secret 2
shadowclan 1
so 1
soon 1
spill 1
spirits 1
spottedleaf 1
starclan 1
still 1
stop 1
strip 1
strong 1
sunningrocks 1
territory 1
that 3
the 11
their 2
thing 1
this 1
thunderclan 7
tigerclaw 4
to 5
trusted 1
unwelcomed 1
victorious 1
warrior 2
watched 2
where 1
whole 1
wild 1
will 1
with 6
won 1
would 1
