6318149
/m/0g0sh6
/m/0g0sh6
Anne McCaffrey
1985-05
a 4
according 1
alas 1
all 2
an 1
and 2
approach 1
as 1
back 1
books 1
character 1
chicago 1
critic 1
daughter 1
detailed 1
different 1
disease 1
dragonlady 1
during 1
events 1
fight 1
for 2
from 1
has 1
her 2
heroine 1
holder 1
homely 1
humans 1
in 2
intelligent 1
is 2
it 1
its 1
kill 1
life 1
lord 1
luxury 1
major 1
makes 1
moreta 1
nerilka 3
nondragonrider 1
nonharper 1
of 3
on 2
out 1
pern 2
previous 1
resourceful 1
selfless 1
series 1
set 1
sets 1
story 1
taking 1
that 1
the 5
threatens 1
to 3
tribune 1
turns 1
viewpoint 1
who 1
