8941280
/m/027qklc
/m/027qklc
Paul Fleischman

a 7
accident 1
adding 1
alone 1
alzheimers 1
an 2
and 5
another 1
away 1
backed 1
before 1
but 1
cake 1
can 1
cancelled 1
cannot 1
character 1
cherry 1
corner 1
courtney 3
dance 3
died 2
do 1
elva 3
end 1
example 1
eye 1
eyes 1
father 1
finally 1
finish 1
for 1
from 1
girl 1
go 3
had 1
he 1
help 1
her 11
home 1
husband 1
i 1
icing 2
imaginary 1
in 1
into 1
is 5
it 2
italy 2
jerk 1
lady 1
leaving 1
lessons 1
little 1
made 1
main 1
make 1
maps 1
matters 1
may 1
meets 1
mind 1
mom 3
my 1
named 2
now 2
nursing 1
of 1
old 1
on 5
out 1
own 1
paralyzes 1
passes 1
procrastinated 1
promise 1
put 2
real 1
remarried 1
repeats 1
riding 1
says 1
see 1
sent 1
she 10
since 2
stepfather 1
suffers 1
take 1
that 1
the 7
there 1
they 1
think 1
three 1
times 1
to 12
too 1
trip 2
unable 1
unlucky 1
use 1
very 1
walked 1
was 1
weak 1
were 1
what 1
when 1
who 1
with 1
worse 1
