23952636
/m/076tq06
/m/076tq06

2009-10-13
{"/m/06n90": "Science Fiction"}
21b 2
8000 1
a 13
abandon 1
abandoned 1
aboard 2
administer 1
after 2
again 2
aid 1
all 3
allow 2
almost 1
also 1
an 7
and 29
antidote 1
appears 1
are 11
artificially 1
as 2
assault 1
at 1
attempt 1
attempting 1
back 2
barge 1
bay 1
be 1
beam 2
become 2
been 1
begin 1
being 1
better 1
bitten 1
blackwing 3
blood 1
boarding 1
body 1
breaks 1
bridge 1
bringing 1
brothers 1
but 1
by 7
cannibalistic 1
capacity 1
captain 1
captured 1
cause 1
characterised 1
chewbacca 4
chief 1
codenamed 1
cody 8
collide 1
come 1
computer 1
contagion 5
containers 1
controlled 1
converting 1
created 1
crew 1
dead 3
death 1
decay 1
deliver 1
derelict 1
destroyed 2
destroyer 9
destroyers 3
died 1
dies 1
discover 1
discovers 1
distant 2
docking 1
down 1
drifting 1
droid 1
each 1
effective 1
either 1
empty 1
entire 1
escape 1
escaped 1
escaping 1
explode 1
faces 1
few 1
fighters 1
filled 1
find 2
finds 1
five 1
fly 1
for 2
forced 1
four 1
from 7
galaxy 2
goo 1
grey 1
group 1
guards 2
had 1
half 1
halfdozen 1
han 1
has 3
have 3
he 2
healing 1
her 3
herself 1
hiding 2
him 1
himself 2
home 2
hope 1
hours 1
however 2
human 1
hundred 1
hunt 1
immunity 1
immunize 1
imperial 2
impounded 1
in 10
increase 1
incumbent 1
infected 2
infested 1
informs 1
initially 1
intended 1
into 2
is 7
isolated 2
isolation 1
it 4
its 3
jareth 1
kale 2
killed 3
killers 1
leaked 1
least 1
leave 4
leaves 1
lethal 1
lie 1
life 1
living 1
longer 1
longo 1
made 1
make 2
medbay 1
medibay 1
medical 4
meets 1
mortis 1
most 1
natural 1
nearby 1
no 1
not 1
note 1
now 1
nowderelict 1
observes 1
of 15
off 1
officer 1
on 1
onboard 1
one 1
only 3
onset 1
or 1
original 2
other 1
out 1
outpost 1
own 1
part 1
parts 1
party 1
pirate 1
place 1
planet 2
point 1
points 1
possess 1
previously 2
prior 1
prison 2
prisoners 1
process 1
purge 5
range 1
ready 1
rebels 1
rebuy 1
release 1
remaining 2
removed 1
rest 1
return 1
returning 1
returns 1
revealing 1
rigor 1
room 1
ruthless 2
sacrifices 1
sale 1
sartoris 3
scavenge 1
sceptical 1
scoundrels 1
seem 1
seemingly 1
sell 1
sent 1
separated 1
share 1
she 2
shelter 1
ship 2
ships 3
shot 1
shuttle 6
situation 1
slow 1
so 1
solo 4
source 2
space 1
spread 1
star 3
subsequently 1
successfully 1
survivors 7
synthesized 1
take 1
taking 1
teenage 1
temporary 1
testing 1
that 7
the 60
their 5
them 5
then 1
theorises 1
there 1
they 6
thieves 1
thought 1
throughout 1
tie 1
to 25
took 1
tractor 2
trig 4
turn 1
turning 1
two 4
unaware 1
undead 3
uninhabited 1
up 1
upon 1
use 1
vantage 1
virus 1
visit 1
was 4
waste 2
watch 1
way 2
when 4
where 1
while 1
who 4
whom 1
with 6
within 1
wound 1
writing 1
zahara 1
zombie 4
zombies 3
