8543126
/m/02777_2
/m/02777_2
Gregory Keyes
2003
2300 1
a 7
about 2
aided 2
aim 1
also 2
an 1
and 12
anne 5
appearance 1
are 1
as 6
aspar 2
assassin 1
assassins 1
at 2
austra 2
awakening 1
back 1
be 2
beneath 1
bone 1
book 1
born 1
breaks 1
briar 4
brother 1
by 6
captive 1
cast 1
casting 1
castle 1
cazio 1
charnel 1
church 1
concerning 1
consults 1
convent 2
corruption 1
country 1
curse 2
cursed 1
dare 2
darige 1
daughters 1
dead 1
deals 1
death 2
defeats 1
descendant 1
dies 1
does 1
ends 1
escape 1
eslen 1
evacuate 1
even 1
evil 3
explains 1
fastia 1
fatal 1
final 1
finds 2
first 1
for 1
forester 1
form 1
found 1
frees 1
friend 1
from 3
gets 1
grave 1
hansa 1
he 2
helplessly 1
her 5
herself 1
his 3
however 1
humanity 2
husband 1
imaginable 1
in 4
inadvertently 1
into 1
is 7
it 1
kept 2
kidnapping 1
king 6
kingdoms 1
knight 1
know 1
known 1
last 1
later 1
law 1
love 1
loyal 1
magic 1
magical 1
makes 1
mass 1
mentor 1
meqvren 1
monastery 1
monk 1
more 1
most 1
murdered 1
murderer 1
murders 2
muriele 5
must 1
mythical 1
nearby 1
neil 2
next 1
not 1
novice 1
now 1
of 7
on 3
only 1
other 2
powerful 1
predictions 1
prince 3
princess 2
princesses 1
prophecies 1
queen 3
realm 1
rebellious 1
rescues 1
return 1
robert 5
save 1
saved 1
secretly 1
sefry 1
sends 1
series 1
she 4
sister 1
skasloi 3
slaughter 1
slavery 1
stephen 2
strange 2
swordsman 1
takes 1
target 1
tells 1
terrible 1
terrifying 1
than 1
that 2
the 33
their 1
themselves 1
this 1
thorn 1
title 1
to 5
trained 1
training 1
travellers 1
tricks 1
turn 1
two 1
undead 1
unintentionally 1
virgenya 2
volume 1
war 1
warned 2
was 1
watch 1
which 1
white 1
who 2
whom 1
with 4
within 1
world 1
wound 1
years 1
zacatto 1
