20018206
/m/04yg8xv
/m/04yg8xv
George Weller
2006-12
{"/m/05h83": "Non-fiction"}
01052010 1
02132010 1
0701200 1
1 4
10 2
100 2
104134233463 1
10cdn 1
11 1
12 1
120 1
13 2
14 1
143 1
145 17
146 1
16 1
164 2
165 1
17 1
176 1
177 1
18 3
183 1
2 4
20 1
200 1
2006 1
2008 1
21 1
24hour 1
25 2
28 1
3 2
31 1
4303250106 1
4713 1
5 2
55000 1
6 5
77 1
8 1
812 1
a 33
abomb 2
about 5
accompanying 1
account 1
acknowledges 1
acme 1
actually 1
added 1
address 1
addresses 1
admiral 4
after 4
aftermath 1
afternoon 1
against 1
agency 1
agony 1
airbase 1
airborne 1
aircraft 1
airstrip 1
alike 1
all 1
allied 4
along 1
already 2
also 1
alternative 1
alternatively 1
although 1
amazing 1
american 4
amidst 1
among 1
ample 1
an 10
and 35
anthony 1
any 2
ap 3
apolitical 1
appeared 1
appears 1
approximately 2
april 1
archives 2
are 3
area 1
arrived 1
arthur 1
article 1
as 10
asked 3
associated 6
at 8
atom 2
atombombed 1
atomic 5
attendance 1
august 1
author 1
authorities 1
available 1
away 1
b 1
back 2
background 2
basketry 1
battleship 1
bay 1
be 3
bearing 1
because 2
become 2
been 2
before 2
begins 1
behalf 1
bernard 1
bettmanncorbis 1
between 1
big 1
blocked 1
board 1
boarding 1
body 1
boldness 1
bomb 3
bombing 1
bombs 2
book 2
books 1
boston 1
both 2
box 1
brand 1
britain 1
britishtype 1
building 1
burchett 1
burkegaffney 1
burns 1
but 2
buy 1
by 10
byline 1
calif 1
calls 1
camera 1
camp 3
camps 2
can 1
cap 1
captain 3
caption 5
captioned 2
captions 1
captive 1
carbons 1
career 1
carry 1
carrying 2
case 1
cassedy 1
cassedycorrect 1
cassidysic 1
cavalry 1
cbs 1
cdn 1
cecil 2
censored 1
censorship 3
ceremony 1
chairman 1
chapter 2
chats 1
chester 1
chicago 11
chose 1
circa 1
cities 1
city 4
claims 1
cleared 1
clearlake 1
close 1
colonel 1
color 1
coming 1
command 1
commander 1
commanding 1
comments 1
committee 1
commonly 1
concludes 1
confirm 1
confront 1
consists 1
continuing 1
corps 1
corregidor 1
correspondent 5
correspondents 3
could 2
cover 3
covered 1
creation 1
creber 2
credit 1
credited 1
cronkite 1
cruise 2
crusoes 1
cure 1
daily 13
dam 1
database 1
date 1
dated 1
dateline 1
datelined 2
days 2
dc 1
dearmom 1
death 2
debris 1
december 1
declared 1
defend 1
denoting 1
describes 3
despite 1
devastated 1
devastation 1
diary 1
did 1
died 1
digest 1
direct 1
directly 1
dispatch 5
dispatches 6
doctors 3
documents 1
does 2
dome 1
domei 1
dozens 1
dreadful 1
drippings 1
dropped 2
duty 1
dying 1
editor 3
effects 1
eggs 1
eight 1
either 1
emphasis 1
end 1
endpaper 1
engagements 1
enough 1
ensign 1
entrusted 1
escape 1
especially 1
every 1
example 6
exhibit 2
experiences 1
explanation 1
facing 1
faithful 1
false 1
famous 1
fascinating 1
feature 1
features 1
feel 1
feeling 1
figure 2
file 1
filed 1
filing 1
film 1
finishedand 1
first 13
fivestar 1
fleet 2
fodder 1
following 1
footage 1
for 16
foreground 1
foreign 4
formal 1
formalsomething 1
former 1
found 1
four 2
free 1
freeing 1
friends 1
from 17
front 1
full 1
gazette 1
george 10
gerald 1
ghosts 2
ghq 1
gilbert 1
give 1
globe 1
good 1
google 1
governmental 1
greater 1
group 2
guest 1
had 6
half 1
halls 1
harbor 1
harrison 4
has 2
haugland 3
have 2
he 12
headed 2
headlined 1
headquarters 1
hecklers 1
hellship 1
helmet 1
here 2
heritage 1
hero 1
hid 1
him 1
himselffirst 1
hiram 3
hiroshima 7
his 12
hoffman 1
hold 1
home 2
honor 1
hopelessness 1
hopes 1
horrors 1
horse 1
how 1
however 1
httpwwwussmissouriorg 1
human 1
hutcheson 1
i 6
ibid 1
id 1
if 2
ii 2
image 1
images 3
in 37
included 1
incorrect 1
indicates 1
individual 1
inferno 1
infra 1
ingenuity 1
inside 1
institute 1
intended 1
into 9
introduction 1
is 14
island 2
it 5
itthirtythree 1
iuniverse 1
j 1
jacket 2
james 2
jap 2
japan 6
japanese 3
japs 1
jim 1
jimmylooksskinniertoday 1
joe 2
john 1
jordan 2
journalism 1
june 1
just 1
kanoya 4
kay 2
kempeitai 1
key 1
kills 1
knee 1
knight 1
know 1
kyushu 1
laboratory 1
last 2
later 2
lawrence 1
lead 1
leadership 2
leave 1
left 4
leisurely 1
lens 1
less 1
letter 1
libraries 1
life 2
lifeguard 1
like 2
line 1
linlithgow 1
list 1
locator 2
logan 1
lone 1
looked 2
looking 1
looks 1
macarthur 3
made 1
magazine 2
magnificent 1
mainichi 1
making 1
many 2
march 1
marines 1
masonry 1
mccrary 2
me 1
medal 1
medical 1
mefirst 1
memento 1
memoir 1
memorial 2
men 2
mention 1
message 1
miles 1
military 2
mindless 1
